Author,Review,Rating,Restaurant,Location
NML,Saturday Live band. Good food.,"Rated 4.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
W Thor,"Lovely place to chill, great ambience, good food and excellent service in a small charming location, amidst the lively night market. We thoroughly enjoyed ourselves. We'll be back, tauke Andy and tauke nia, Grace!","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Kim Hua Wee,"Foods are nice, Surrounding views are scenic","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Mackenzie Palmer,"Very nice bar. Great view, good drinks.","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
danny yap,Nice old village food street,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Phil Moore,Great night out in a lovely town with cheap beer and great food. Winner.,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
felix gimek,Blissful place to chill,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Paul Greenwood,"These guys have put together a piece of paradise, in a corner of paradise !","Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Anselm Mcbryan,They produce nice food 😂😋👍,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Jikeh Somu,👍best,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
PRAVIN KUMAR,GREAT,"Rated 4.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Mike Wong,Food are tasty,"Rated 4.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Gary Johnson,Great place ....,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
s g,Great place,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
CLAUDIA RUKIN,,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
WOO HYUN LEE,,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Archillus Gone Fishin',,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Harry F,,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
jason Yeo,,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Imaad Whd,,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Molly Wenddy,,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Boon Jan Lang,,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Jonathan Ramsey,,"Rated 5.0 out of 5,",The Bikalan,"33 Pekan Siniawan, Siniawan, Bau, Sarawak"
Idrina Rose,The food was good! Ngl it is good. Thought the portion was small but turn out it is big 🤣 will def gonna comeback as usual! Their cocktails is bomb!,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Caesar Wong,"My wife and I were having a great time dining there, we love their food, friendly staff, loves the vibe there, too.","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Wyyippy Py,"Lovely boutique restaurant serving top quality food, be it cocktail, starter, main course or dessert. The ingredients, preparation, quality of materials, cooking, presentation and friendly service are 5-stars dining in a casual, warm and …MoreLovely boutique restaurant serving top quality food, be it cocktail, starter, main course or dessert. The ingredients, preparation, quality of materials, cooking, presentation and friendly service are 5-stars dining in a casual, warm and friendly environment. It make one feel very much at ease to enjoy the dining environment, decor, drinks, food and friendly host. This is a hidden gem without glemourous outfit and fancy A&P. Definitely a great place to be at any time.","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Myra Rani,Awesome food super friendly.love it,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Ao Meifen,"Love the music, good place to catch up and hang out with friends, music not too loud and soothing to the ears. Beautiful decor of east and west. Friendly servers and both the owners have their hands at the bar and mingling with the customers. Really will be back again soon!!!","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Michael J. Novielli,"Very good cocktails, ambience, and friendly service!","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Khalid Yahya,"Amazing staff, top quality spanish food, paella was on point, Jamon and cheese platters were so good and the lava Choco is the best in town in my opinion. Definitely worth your money if you're looking for a place to chill alone or with your partner.","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Debbie Pozzobon,Great food. Fabulous service. Lovely ambiance. Highly recommended.,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Yang Ong,Great food and ambiance. The chocolate lava cake and tiramisu very nice. The josper grilled meats were superb. Services impeccable.,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
パイパイ,"A small restaurant owned by French women with Spanish chef. A very warming and welcoming restaurant overall. However; food is overated - pasta overcook, burger bun was not hot. Tiramisu was way too sweet. Portion is big though and friendly …MoreA small restaurant owned by French women with Spanish chef. A very warming and welcoming restaurant overall. However; food is overated - pasta overcook, burger bun was not hot. Tiramisu was way too sweet. Portion is big though and friendly staff. Good for sharing. Fast service. Not value for money. Pleasant environment and walking distance from Hilton Hotel. You can't find any good food in Kuching now for the price you are paying.","Rated 2.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Henry Lu Tze Siang,Must try if you like western cuisine. Very nice environment. Best call for an booking before walk in as usually full of customers after 7pm.,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Dea Hua,"This is a hidden gem in Kuching. The food and service were excellent, beyond our expectation. We ordered a variety of food and every single dish was delicious. The ambience was very nice especially if you are seated at the patio, lovely in …MoreThis is a hidden gem in Kuching. The food and service were excellent, beyond our expectation. We ordered a variety of food and every single dish was delicious. The ambience was very nice especially if you are seated at the patio, lovely in the evening. The owner, James is very friendly and attentive, he made an effort to check on all customers, not something that happens frequently in Malaysia.I highly recommended this restaurant, you will not regret it. It was the best meal we had in the 4 days we were in Kuching.","Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Adrian Lim,Not bad for spanish food in kuching...  should do more tapas and wine selection ...  lots of fusion with local can be tried  ! Most main dish portions are huge ... !,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Meng Yang Ng,"Brilliant Spanish and fusion food prepared by the chef from Barcelona. The squid ink paella, Padron peppers were spot on, and the Sarawak Laksa pizza tasted like the real deal! I'll Definitely be coming back here again.","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Ezra Chin,"Great food, excellent services. Brought my korean friend, and they love it soo much.Thanks for the good service and really put effort and passion into making the …MoreGreat food, excellent services. Brought my korean friend, and they love it soo much.Thanks for the good service and really put effort and passion into making the food so nice.Defintely will back again","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Steve Carver,Pleasant atmosphere. Wifi available. Very clean cr. Attentive service. Pizza with Tandoori chicken was unusual.,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Sim Siew Siew,"Nice hang out place if your looking for a quality, quiet, personalized service. Not for those who are looking for a crowd. It's for those who value quality over quantity. Great service. Nice ambience. Classy crowd. Good selection of drinks. Haven't tried it's food yet though","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Angela Joanne LPL,Zinc is a great gem in Kuching for great quality food. I no longer need to fly out of Kuching and the price is reasonable to the food and services provided.,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Gaëtan Boehringer,"Best restaurant in Kuching! We have been there countless times and will continue visiting them every time we pass by the cat city. They do Spanish/French food and have a very nice/cosy set-up - Try the Pork Steak and the Foie Gras if you …MoreBest restaurant in Kuching! We have been there countless times and will continue visiting them every time we pass by the cat city. They do Spanish/French food and have a very nice/cosy set-up - Try the Pork Steak and the Foie Gras if you like it.The service is great, staff and management are very friendly and efficient and they have some special night, like Paella nights or Live Bands etc...","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Albert JSL,"I personally would grade this restaurant is among top 5 western restaurants that you must visit in Kuching. They have great food, great people and no doubts with great service, great atmosphere!","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Edgar Ong,"Nice ambiance, great French styled food, friendly service.","Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Jim and Katie Coolbaugh,Gracious service from the owner and staff. Great food and reasonable prices. The pizzas looked very inviting but we wanted other dishes. Had lamb shank and ribs. Delicious!,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Andrew Choo,"Interesting offering of fusion food. Well prepared and presented. Pizza with a laksa topping, ceviche with mango had interesting flavours.","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Stella Tan,Had a great evening with nice food and good atmosphere. Highly recommended👍,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Aravinthan Rajaandra,Great food and ambiance. Great service. Amazing cocktails. Had The Picnic and Lyhee Martini. You'll love one of it and have two of the other one. Highly recommended.,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Elvis Lee,Delicious French cuisine... Didn't manage to try the pizza but will go again soon... The risotto is a must try.,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Michelle Wong-Barroy,"Had a great late-night drinks here with friends! They definitely know how to bring out the best of local spirits in their cocktail concoctions! The Zinc Passion was a success! Amazing balance of taste between passion fruit, lemongrass and tuak! The langkaucello is definitely a great digestive drink! Kudos to the mixologist!","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Syed K. ‘Attas,"Good food, House red wine selection could have been better","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Omara Shayana,"Luv it🤗🤗🤗 ..last night story.. luv the Jamon croquettes, tenderloin beef burger, pizza and choco lava cakes😘😘😘😘","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Frederic Beerens,Excellent food in this restaurant in a great ambiance with friendly service. This is a must in Kuching.....,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
C S,services were good. only minus point is the mussels were not fresh enough and spicy sauce was not my liking. steak was so so slightly below average. ambience was good.,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
AL Lim,"I always wish half stars were a thing so I can't probably give this place a 4.5. It's honestly pretty awesome place for food and drinks. But the real star, in my opinion, is their desserts. I mean Tiramisu with actual alcohol in it, in …MoreI always wish half stars were a thing so I can't probably give this place a 4.5. It's honestly pretty awesome place for food and drinks. But the real star, in my opinion, is their desserts. I mean Tiramisu with actual alcohol in it, in Kuching !! Hallelujah. Do you know how hard it is to find alcohol in desserts in Malaysia. The answer is, near impossible. So I'm very grateful that I can get my sweet alcoholic tooth sated here.","Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Tan Shin Hui,Price is expensive but the environment is great... Is a good place to drink together with friends .. Must try cocktail there.,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Lucie Christopeit,"This is the best restaurant around. It provides a very nice location and great food and cocktails (the best we've had here). You don't have long waiting times, the staff can't be criticized, and is flexible which sadly is rare in this area. …MoreThis is the best restaurant around. It provides a very nice location and great food and cocktails (the best we've had here). You don't have long waiting times, the staff can't be criticized, and is flexible which sadly is rare in this area. The boss is very caring and definitely interested in making your stay flawless. Her involvement is one of a kind. In addition, the menu offers a wide variety, so everyone can find something.This restaurant is a bit more expensive than other restaurants in Kuching, but totally worth it if you appreciate a perfect dinner. We went here twice, and were more than satisfied!","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Kiang Chiok Sim,Good  cafe restaurants with good ambience.  Long bar with outdoor sitting area. Western Food Menu comprehensive  .,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Alamak Lu,Great location. Serving awesome foods! Love it ❤️,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Irenaeus Vincent,Great ambience. Food variety was good.,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Antonija Matković,Amazing place in Kuching. The best restorant and food. Recomended in any way.,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Dan,The food is very unique compared to other western restaurants in Kuching. They use a lot of ingredients not easily sourced from here and everything we had was really good. The thing that stands out the most about this place is the …MoreThe food is very unique compared to other western restaurants in Kuching. They use a lot of ingredients not easily sourced from here and everything we had was really good. The thing that stands out the most about this place is the hospitality of the hostess. She was extremely friendly and catered to our needs very well. Overall I had a great time at Zinc and I recommend that anyone come here to try. I can definitely say that this won't be my last time coming here.,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Eve Pek,The lamb shank is too salty for me.. May be will try other dish next time.. Escargot is ok..,"Rated 3.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
TC691 Kiing,The ambient is pleasant and the waitress are attentive. The food is excellent and the place is really clean. …MoreThe ambient is pleasant and the waitress are attentive. The food is excellent and the place is really clean.Food serving is decent and fast. The taste is delicious without heavily seasoned.Get a real European authentic kitchen here in cat town. With a fusion of local tuak and laksa flavour choices in the menu.Consider you to do a full course of meal..from antipasti all the way to a lemoncello shot.Price will not a concern after finished the plates on your table.Well done.,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Lucas Law,"Nice and romantic ambiance. A perfect place for your first date. One of the few places in Kuching serving Mediterranean cuisine. They have ham and cheese platters. I highly recommend their rabbit meat dish and pork steak. The Rabbit meat is …MoreNice and romantic ambiance. A perfect place for your first date. One of the few places in Kuching serving Mediterranean cuisine. They have ham and cheese platters. I highly recommend their rabbit meat dish and pork steak. The Rabbit meat is unique and cooked as a stew but taste really soft and tender. Covered in all of that delicate sauce. The pork steak is also very good, grill till soft and tender and really melts in your mouth. Their pizzas are alright as well but can't say much until I tried the other flavours. Can really feel that the food here is cooked with heart and love and would leave you sastified.Customer service is also superb. The waiters and waitresses are very attentive and always asking to change plates and asking about the food.The surrounding area is also a great spot for taking pics. Would come here again for special events","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Jayan Palachandran,"Food was excellent, paired with a great selection of cocktails and mocktails. Very friendly and helpful staff. Very cozy environment for a romantic dinner for two ot entertaining a small group. They feature indoor or elfresco dining …MoreFood was excellent, paired with a great selection of cocktails and mocktails. Very friendly and helpful staff. Very cozy environment for a romantic dinner for two ot entertaining a small group. They feature indoor or elfresco dining experience. Music is soft enough not to hinder conversation, but enough to enjoy. Would highly recommend when in Kuching.","Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
chanchans,excellent gin & tonic with a huge sliver of cucumber lining the bottom of the glass; nice touch from the the husband with french wife & 2 boys running the establishment,"Rated 2.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Khalid Mohamad Amin,"Good food, good drinks, great ambience, amazing staff. I enjoyed my time dining here. I was recommended to go here for the laksa pizza, and I was very skeptical. however, I tried the pizza and it was fantastic. The other other items on the …MoreGood food, good drinks, great ambience, amazing staff. I enjoyed my time dining here. I was recommended to go here for the laksa pizza, and I was very skeptical. however, I tried the pizza and it was fantastic. The other other items on the menu were fantastic too! And the staff is just genuinely great and attentive. I love this place. Will definitely be back the next time I'm in Kuching.","Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
chia zhen chua,Consistently good with nice ambience,"Rated 5.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Bong Sun Na,Great food but pricey,"Rated 4.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
Greg K,"Came for dinner on a Sunday. Owners are very nice people and service is great. Seared foie gras was delicious. Mushroom risotto left a lot to be desired. Tried my friend's steak and felt it was average. Not a fan of the laksa pizza. …MoreCame for dinner on a Sunday. Owners are very nice people and service is great. Seared foie gras was delicious. Mushroom risotto left a lot to be desired. Tried my friend's steak and felt it was average. Not a fan of the laksa pizza.Love the vibe though; having a DJ play chill beats is a nice touch. Ate here once a few years back, I recall the pork and fish entrees being good.","Rated 3.0 out of 5,",Zinc Restaurant & Bar,"38, Tabuan Rd, Kuching, Sarawak"
