Author,Review,Rating,Restaurant,Location
Syedzaifi Putra,"Kak Ann was tremendously sporting and hyped!the food was delicious, the place was fantastic, the workers were awesome and the environment was a spot worth visiting to chill and listen to live performances","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
tengku alif,Me and my friends had a wonderful night here! Food was great and delicious. Kak Anne so friendly and even sing us a song.,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Majdi Ngjeqari,"Wonderful place in a very nice location. You have a great view over one of the most beautiful streets of Langkawi, and also for your convenience its situated inside a mall, where the prices are cheap and duty-free. The staff is very …MoreWonderful place in a very nice location. You have a great view over one of the most beautiful streets of Langkawi, and also for your convenience its situated inside a mall, where the prices are cheap and duty-free. The staff is very friendly and believe it or not, the food feels as a real uthentic Mexican food. Coming from US, I never thought I would find such a restaurant in Malaysia. They also have live music, and the singer is dressed in an flamenco with the mariachi band. The prices are cheap and the food is delicious. I had a great experience and definitely will visit it again.PS: Thank you to the Manager, Anne, for the wonderful smile and hospitality and making us feel welcomed. And also to the owner, for his humbleness and friendly behavior.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Kartthigeen Tamel Selvan,"Cozy restaurant right in the middle of Cenang. The servers took real good care of us! The food and drinks were good too, price is okay! During our time there, they had a gig which was really entertaining and they even invited one of us to sing along. Kudos to Ricky, Nad and the team for their hospitality :)","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Dylan Dev,"Food is overpriced and comes in very small portions. No ice cream was available as staff had forgot to close the fridge the night before. Bottomless nachos was basically chips from a packet served with a tiny bowl of salsa on the side, …MoreFood is overpriced and comes in very small portions. No ice cream was available as staff had forgot to close the fridge the night before. Bottomless nachos was basically chips from a packet served with a tiny bowl of salsa on the side, without any cheese or toppings at all. Music was blasted so loud that it was hard to have a conversation. Overall a terrible and disappointing experience given all the other reviews on here... We went on a Saturday night too and thought it'd be lively but it was desolate","Rated 1.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Nazmi,Good Mexican food. Quite expensive for locals but this is to be expected for a tourists place,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
MHT,"The ambiance is very welcoming and charming. Excellent food👍 The service we received was so amazing and they made us feel welcomed. An amazing experience, we will definitely be back again!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Eirina Hafizul,"Had wonderful tacos here, but was surprised by the extra charge as one of the staff recommended having the pulled beef flavour. It came as an additional add on which I only noticed when I paid the bill. Wanted to try some cocktails but it …MoreHad wonderful tacos here, but was surprised by the extra charge as one of the staff recommended having the pulled beef flavour. It came as an additional add on which I only noticed when I paid the bill. Wanted to try some cocktails but it seemed the menu had no alcoholic drinks offered. The place is quite hard to find and you have to walk a few flights of stairs from the ground floor up to the very roof top.","Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Mohd Hanif,"Love the interior design and decoration of it feel like im in Mexico. The FOOD is awesome never taste mexican before and now im addicted to it. Crunchy and meaty. They know what their doing. Also you wont feel bored for the LIVE BAND, i like singing together.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Bao Meili,A very lovely restaurant and good Mexican meal. We enjoy while eating there with a nice view. The service also efficient and fast. Most of the waiter also friendly and provide good service ..the price also not bad and worth it. Highly recommend this restaurant..,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
SURIATI YUSOF,Best environment and best food. We enjoyed listen to live band (2 piece) while eating. The Beef Buritos recommended👍👍👍👍 We will comeback! Next round together with our friends.Awesome!,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Grace Allan,"A wonderful dinner with a beautiful view of the ocean and sunset. We enjoyed all of the food and were delighted at so many vegetarian options, all of which were clearly labelled as so on the menu. The staff were very polite, efficient and …MoreA wonderful dinner with a beautiful view of the ocean and sunset. We enjoyed all of the food and were delighted at so many vegetarian options, all of which were clearly labelled as so on the menu. The staff were very polite, efficient and helpful and we really enjoyed the ambience with some great tunes playing! We will be back for sure!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Jennifer Williams,"My new favorite spot in Cenang. The staff are well trained and friendly, Annie the manager is so welcoming and accommodating . Food is amazing especially if you are looking for vegetarian options. Highly recommended!! Will be back soon.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
ong weyjuo,"Nice Mexican snacks, huge portions with reasonable pricing.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Thevamalar Ramachandran,"A combination of comfortable setting, great Mexican food, a fantastic band and a very accomodating set of staff makes this place a lovely place to chill. Keep it up, guys.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Martin Clarke,Star rating difficult.NOT over looking the sea. Looking at street.Service et al great. …MoreStar rating difficult.NOT over looking the sea. Looking at street.Service et al great.Slow cooked beef for Con Carne lovely.NO SEA VIEWNo toilets so you have to pay for the bathroom!2* generous I think.,"Rated 2.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
joko hurricanemax,"Had a good time here with buddies. The band is good, the music and songs are truly entertaining. The singer is so sweet and gifted.  She sings very well.  Annie the Manager is generous and helped to celebrate a buddy's birthday too.. we will come back here when we return to Lkwi...","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Myn Dahalil,"First of all, this is a Halal restaurant for my Muslim siblings.The food is totally something different and taste exceptionally delicious.Would suggest to try out their Chili Con Carne.The only outlet in Malaysia, should try is you're at Pantai Cenang","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Arvind Sriram,"Excellent food, great customer service and exciting band. Kudos to the manager Annie for her hospitality and she really rocked in her performance!!! Uniquely authentic Mexican food will definitely come back again!!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Wen Jun Goh,Nice Mexican! A surprise find in langkawi.,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Andrew Chuah,"Tamales a bit dry. Chili con carne was yummy! Flautas ok, could be more crispy. Lots of hard to find Mexican food here, though!","Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Samuel Gan,Good !I’ll come again to try the spicy stuffKapow 💯,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
John Jackson (insta: imthecraziestdude),I like rooftops and etc. So I decided to check it out.It's a hidden romantic gem with a view towards the sea. I can't say that it's a …MoreI like rooftops and etc. So I decided to check it out.It's a hidden romantic gem with a view towards the sea. I can't say that it's a beautiful view since it is blocked because of the trees around.  But still look good.Food was ok. Since I'm a big fan of Mexican food I can't say that its actually satisfied me. Luck of spices in my point of view.Staff were friendly on the other hand but it took some time to get our food.Recommend place!,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Shyam Sunder,"El Toro is one of the BEST Mexican Restobars I’ve been to. Everything about this place is so appealing. The food is delicious, the ambience is perfectly Mexican 👌🏼 They are located in the heart of Langkawi, at Pantai Cenang overlooking …MoreEl Toro is one of the BEST Mexican Restobars I’ve been to. Everything about this place is so appealing. The food is delicious, the ambience is perfectly Mexican 👌🏼 They are located in the heart of Langkawi, at Pantai Cenang overlooking the sea. Enjoy an evening drink on their rooftop while enjoying the heartwarming sunset and view of the waves lashing against the shore. I’d definitely recommend this place to everyone visiting Langkawi. It is affordable, has amazing discounts and is yummy😋 They make customers of all ages feel very welcome, they even offered my little one a fresh fruit juice on the house (I appreciate the gesture) DEFINITELY coming back for more!!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
DB DB,"Really nice rooftop reastaurant with great view and food from open kitchen. The head-waiter/manager was a nice guy who is able to suggest and help with choosing meals. …MoreReally nice rooftop reastaurant with great view and food from open kitchen. The head-waiter/manager was a nice guy who is able to suggest and help with choosing meals.The only downside was one waitress that was partially taking care of us, she had absolutely no clue what is going on. To be honest I have not seen such a (sorry for that) dumb waitress in a long time.","Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Rong Kang Chew,Excellent service and excellent Mexican food! Fairly priced alcohol (they do frozen cocktails too). Good view and good ambience.,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
fion liew,"My 1st experience on Mexican food.Acceptable and yummy. …MoreMy 1st experience on Mexican food.Acceptable and yummy.After the dinner, still can enjoy 25%discount on the creamy ice cream.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Vicariously Travelling,"We came across this Mexican restaurant walking in the area and really enjoyed our meal. The rooftop views are great even when cloudy. We split the combo plate with 2 tacos, 1 burrito, and 1 quesadilla, and ordered nachos which was just chips and salsa. We would’ve loved to have a margarita but they only have beer, which was fine.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
jermen benyakar,My child’s food got mixed up so we received it late.The food is tasty but the portions are small (fajitas) so it’s over priced.,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
parmida mohtati,"Delicious meals, friendly staff, very cool promos of the day! I wish if there were on the beach side then definitely I would have visited them every day!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
MY B,Friendly and good service. Arrived Langkawi late and didn't know already almost passed their closing time(11pm) but they do welcome us and serves us. The tacos and their sauces are AWESOME.,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Pei-Shyen Chong,"Amazing food, amazing service!!! Farouk was the best who recommended the 'surprise' enchiladas. I would love to come back and recommend others too","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Sashi Rao,"Great place, Mexican Food, limited dishes. Great ambiance. Live 2pc band.Staff are very good and attentive","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Imran Ismail,Excellent and affordable food! Super friendly team. You bet I’ll come again! Keep it up El Toro! 👍🏽👏🏽,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
James Ong,Best place to chill out in Chenang..with a entertaining band too..,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Gabrie Supra,Great Mexican food with live music.,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Lauren Benio,Absolutely delicious! The best Mexican food in Asia! Small menu but everything is delicious and fresh. Great atmosphere overlooking the beach. Went here twice! Highly recommend.,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Kimmy,"Delicious food. Boyfriend never had Mexican food before so we had a shared plate where we both each had a quesadilla, burrito and tacos. Lovely service and music","Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Ryan James Connors,Super friendly and awesome staff! Delicious food! And the outdoor balcony overlooking the strip is delightful :),"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Rahini Velayutham,Food was good and the serving staff were polite and friendly. Good live band.,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Josephine Thang,"The food was just alright, nothing impressive and it took forever for the food to come to our table. The place was busy and they were clearly short-staffed, but thought it could be better managed next time.","Rated 2.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
kavenash nair,Amazing food and the band was on point. Will definitely visit again.,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
A Canadian in London,"Visited Christmas 2019, in the old rooftop location, and liked it so much I went back again the following night. The food was great (especially the enchiladas), the staff friendly, the ambiance and view lovely. …MoreVisited Christmas 2019, in the old rooftop location, and liked it so much I went back again the following night. The food was great (especially the enchiladas), the staff friendly, the ambiance and view lovely.I've seen a few complaints in other reviews about the cost, but seriously? You're eating TexMex food (made with loads of expensive imported ingredients) and cocktails or mocktails in a resort island.... Their operating costs are going to be much, much higher than an economy rice stall's are, so of course they have to charge more.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Balendra Elangco,Authentic Mexican fare. Fresh and tasty. Vegetarians can find good options here. Roof top loccation is good!,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
André Salte,"Good food, good service and nice view!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Tobias Korb,"The food is nice,But combo platter was too small for 2 people and a bit pricey for what you get.","Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Geng Qian Choo,Love overall experience and food.,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
S G,"The food was average at best, and the portions were very small - my main course was more like a starter. We would have had desserts, but they were never offered and our attempts to get staff's attention so we could order were unsuccessful. …MoreThe food was average at best, and the portions were very small - my main course was more like a starter. We would have had desserts, but they were never offered and our attempts to get staff's attention so we could order were unsuccessful. The whole meal was a mess of ordering things, waiting for a long time (up to 40 minutes), asking what had happened to them, waiting some more, eventually getting some of the order but not all, things being brought which we hadn't ordered, items added to the bill twice that had only been brought once. There were enough staff for the number of customers, but either the staff weren't trained properly or their system of ordering and serving food and drinks didn't work effectively. I would not recommend this restaurant at all. Staff were pleasant but the food and drinks were not worth the chaos and frustration.","Rated 1.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Eric Gimpletons Kok,Nice sunset view. Rooftop dining. Friendly staff. Good food. Lovely ambience.,"Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Anna Phillips,"Simple but delicious Mexican food on a pleasant balcony which was a good setting for our largeish group to enjoy our evening in safety. The  cocktails were tasty and affordable. The staff were friendly and did their best to help us at a …MoreSimple but delicious Mexican food on a pleasant balcony which was a good setting for our largeish group to enjoy our evening in safety. The  cocktails were tasty and affordable. The staff were friendly and did their best to help us at a busy time. There were organisational issues with managing the bill (which were resolved later) for a large group over multiple tables but the staff themselves were very welcoming and accommodating. However, if going in a very large group, the billing system is complicated and best avoided by splitting the bill evenly. I had a fun night and the manager kindly even organised a raffle, prizes and some treats for the evening. A very warm welcome.","Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Imogen Marx,"We were a big group but had struggled to find somewhere for new years eve, so were very grateful to be accepted here. It was really difficult to organise food and drink for all our 18 people (as above comment) but staff were helpful and …MoreWe were a big group but had struggled to find somewhere for new years eve, so were very grateful to be accepted here. It was really difficult to organise food and drink for all our 18 people (as above comment) but staff were helpful and trying to make everyone's eve as good as poss. We had some issues in the end with billing but turned out to be partly our own friends issue with not  paying for their items, and for duplicated items the staff helped us out and removed queried items from the bill. Overall food was fine, very grateful for the staffs attitude, and would go again.","Rated 3.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Maximilian Schmidt,Good food and very friendly staff. Music was a bit to loud.,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Sami T,"Nice chatty nordic staff, chef and bartender. Food is delicious and high quality.Ocean view on the roof, nice and cosy place, some games available.10/10 would recommend","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Shantheni,"Food was good. Service was quick, drinks are decent too.","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Heather Blackman,The vegetarian burritos were so good I ordered a second one. Staff were great.,"Rated 4.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Michael Diduch,"Definitely wanted to like this place, and I’ll give it to them that it’s a nice space. However, we waited over an hour for an appetizer platter that was pretty underwhelming (a few cold nacho chips, cold shrimp, average salsas, and tostadas …MoreDefinitely wanted to like this place, and I’ll give it to them that it’s a nice space. However, we waited over an hour for an appetizer platter that was pretty underwhelming (a few cold nacho chips, cold shrimp, average salsas, and tostadas that were basically a corn chip with a few toppings). We’d ordered that while we were deciding on our mains, but it took so long that we just passed and went somewhere else. To note, there were barely any people in the restaurant and about 5 service staff, no clue how it could take that amount of time and no one really seemed to care. Overall I’d give the food a two star, but the lack of decent service gives it a one. To kick it off, I’d asked for half the bill on my credit card at the end and confirmed with the server that she’d charge half. When it came back she’d just charged the whole amount. It might be worth checking this place out for taco Tuesday or happy hour purely for the view, but there are definitely better options for a regular night. Overall bill for the chips and two drinks was about 30 dollars.","Rated 1.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
Lena Ringstrom,"I spontaneously wanted Mexican food - I had low expectations of finding something decent. However, El Toro proved to be a very pleasant surprise. I ordered the chicken tacos with chips & salsa. The tacos were bursting with flavor, the chips …MoreI spontaneously wanted Mexican food - I had low expectations of finding something decent. However, El Toro proved to be a very pleasant surprise. I ordered the chicken tacos with chips & salsa. The tacos were bursting with flavor, the chips were pretty good, and the dipping sauce served with them, even better. The atmosphere is chill and the furnishings are tasteful. I would definitely go back!","Rated 5.0 out of 5,",El Toro Langkawi - Mexican Bar & Grill,"Cenang Mall, FF4, Lot 2605, Jalan Pantai Cenang Pantai Cenang, Langkawi, Kedah"
