Author,Rating,Review,Restaurant,Location
Hanako M.,"Rated 5.0 out of 5,","Awesome Halal dim sum restaurant located in Weil hotel, Ipoh. Takeaway is also fantastic.",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
sTeve wong,"Rated 3.0 out of 5,",Prefer digital payment. Duit Now. Due to pandemic. Hygience most important.,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Joel Yeo,"Rated 5.0 out of 5,",The duck is one of the best i ever had!! Overall its great experiences,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
vi fam,"Rated 5.0 out of 5,","Their smoked duck is very delicious, highly recommended.",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
CH Yau,"Rated 5.0 out of 5,","Great food & service, friendly & knowledgeable waitress helped to recommend the dishes & portions to order.",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Danny Siew,"Rated 5.0 out of 5,","When one thinks of dim sum in Ipoh, normally this place will not be the top of the list. My first visit changed my preconception of halal dim sum. It is even better than the more popular run-of-the-mill non-halal establishments in Ipoh, dim …MoreWhen one thinks of dim sum in Ipoh, normally this place will not be the top of the list. My first visit changed my preconception of halal dim sum. It is even better than the more popular run-of-the-mill non-halal establishments in Ipoh, dim sum-wise and otherwise. Plus, from the price point, it's not that far off from the seemingly more popular joints. The environment is more comfortable, more attentive and friendly staff. Then there is the braised beef brisket noodles which is a must try. The rest, I will leave it to your adventurous spirit when you choose to dine here.",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Yasmin Esa,"Rated 5.0 out of 5,","Located in Ipoh's Weil Hotel, this restaurant serves up Halal Dimsum, and the best Duck you would ever have the pleasure of feasting on. Fragrant from being smoked with lychee wood, soft, and succulent, neither a dry nor tough bit could be …MoreLocated in Ipoh's Weil Hotel, this restaurant serves up Halal Dimsum, and the best Duck you would ever have the pleasure of feasting on. Fragrant from being smoked with lychee wood, soft, and succulent, neither a dry nor tough bit could be found on the whole duck. We will be flying back to Ipoh, and the only reason we will be doing that is due to this gem.",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Rochelle Lawson,"Rated 5.0 out of 5,","Amazing smoked duck, fabulous service by Angeline. I even got a surprise mooncake with candle for my birthday. So sweet and kind!",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Jonás Ansó,"Rated 5.0 out of 5,",Good Dim Sum and Cheng fun,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
B,"Rated 5.0 out of 5,",Unique smoked roasted duck. So good that you would eat the beak!,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Weee Wang Wang,"Rated 1.0 out of 5,","(Translated by Google) Our bill more expensive than the menu price. After eating a meal during the trip, I feel cheated. The price in the menu is different from when the money was given. A lot more expensive. It turned out that without our …More(Translated by Google) Our bill more expensive than the menu price. After eating a meal during the trip, I feel cheated. The price in the menu is different from when the money was given. A lot more expensive. It turned out that without our consent, we randomly cooked ""large portions"" of dishes for us, and then charged our ""large portions"" for the price. The waiter did not ask or notify. The menu did not specify that the dishes are divided into large, medium and small portions and prices. Only one price is given, and another price is charged. However, the food is delicious, so forget it, but I want to say that this is not the way to do business. I need to ask the customer, do you want to make a big portion, what is the price of our big portion, and then it is up to the customer to decide whether you want it or not, not arbitrarily.(Original)Our bill more expensive than the menu price. 旅行途中经过吃一餐，有被骗的感觉。menu里的价钱和给钱时不一样。贵了许多。原来是在完全没经过我们的同意之下，胡乱做“大份”的菜给我们，然后charge我们“大份”的价钱。服务员，并没有问，也没有通知一声，menu里也没有写明菜有分大中小份和价钱，只给一种价，charge的时候另外一种价。不过、食物是好吃的，所以算了，不过想说，做生意不可以这样。需要问一下客人，要做大份吗，我们大份的价钱如何，然后由客人决定要不要，而不是擅自决定。",Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
chow simon,"Rated 4.0 out of 5,",,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Wilson Cheah,"Rated 5.0 out of 5,",,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Olive Yew,"Rated 4.0 out of 5,",,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
ZiYe YEE,"Rated 5.0 out of 5,",,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
KY Lim,"Rated 2.0 out of 5,",,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Steven Lau,"Rated 5.0 out of 5,",,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
james wong,"Rated 3.0 out of 5,",,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
Felix Tshai,"Rated 5.0 out of 5,",,Yuk Sou Hin,"170, Jalan Sultan Idris Shah, Ipoh, Perak"
NIK ZULHILMI,"Rated 2.0 out of 5,","Went there for the full course dinner. I expected the food to taste much better for the price that they charge. They seem to be putting more focus on showcasing the use of complex ingredients in the food rather than making the food taste …MoreWent there for the full course dinner. I expected the food to taste much better for the price that they charge. They seem to be putting more focus on showcasing the use of complex ingredients in the food rather than making the food taste good. Or perhaps I'm not used to fine dining.However, the place is really beautiful. The service was top notch as well.",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Yitpeng Ong,"Rated 5.0 out of 5,",We came for drinks after dinner at The Pomelo.  Great ambiance.  Grace and crew were helpful and friendly.  It was a busy evening and a big group just came in. But they were speedy in setting up a table for us in a cosy spot in front of the …MoreWe came for drinks after dinner at The Pomelo.  Great ambiance.  Grace and crew were helpful and friendly.  It was a busy evening and a big group just came in. But they were speedy in setting up a table for us in a cosy spot in front of the bar counter.  We ordered drinks but they were happy too to serve us the bottle of wine we did not finish at The Pomelo and brought over.We had an enjoyable night. Thanks to the wonderful service.,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Shawn Ng,"Rated 5.0 out of 5,",Nice experience. Nice ambience. But I'll prefer more on 3 course menu with bigger portion.,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Resh,"Rated 3.0 out of 5,","Average Fine Dining with Outstanding ambienceFirst of I would like to give my thanks, appreciation & Kudos to the team. …MoreAverage Fine Dining with Outstanding ambienceFirst of I would like to give my thanks, appreciation & Kudos to the team. Grace, Natasha & Nelson. Are wonderful, well versed in the food served. Such a gem of staff.1 Star - For the ambience. Without a doubt. Dining in a cave is really exquisite. The whole experience was mind blowing. To see mother nature still growing along with the restaurant is very beautiful.2 Star - For the service. From the person at the front door till the staffs inside the restaurant. Everyone is so friendly. Hospitality was perfect. Wonderful Team. Again I would like to highlight Grace & Natasha for outstanding service.3 Star - Food. My last 3 Stars will be for food but unfortunately I can only give 1 Star for the food. It was like I said average fine dining.Me & my wife had the Chairman Favourite & Tanah. Course dinner.Overall TANAH was a better course.First meal- Onsen, the scallop was still having smell in my mouth. It brought over to my next meal which was a bummer because the foul smell in my mouth was just sad. With my past experience in fine dining, I know that the smell is not normal.- Puyuh was beautiful made. The taste was a fantastic combination.Second meal- both was exquisite.Third meal- The kneading. Again this was amazing. Please do try their balsamic vinegar. It was amazing.Fourth meal- Botan shrimp. This dish was sad. The shrimp was imported from Japan but unfortunately our local shrimp would have given more flavour. Having the shrimp felt like I was eating old seafood.- Ayam kampung. Was herbal, I would say just average. Same this dish also brought the mood down.Fifth meal-  Halibut & Bunga Kantan both was nice.Sixth- The rice wine & the guava shot. Both was amazing. But Rice wine was perfect.Main meal- wagyu beef. Marbling was good. Medium rare was exactly what I requested. This dish again was just average.- Lamb tenderloin. This dish was impactful. The lamb had a powerful taste which really brought out the flavour.Dessert- Both desserts taste above average. It was not an experience that fit the environment.Last- The banjaran herbal garden. The herbs was really a saviour to this place. It had the aromatic therapy that made me and my wife feel lovely. Sipping the tea was wonderful.- Ipoh white coffee. I was expecting coffee beans grinded before me. But it was in a sachet. Also the coffee was horrendous. Did not bring the pride of Ipoh White coffee at all. Really Sad.Overall I would recommend this place for a one time dining for the experience. And if your going for the menu. Take the Tanah Course",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Anastasia Soh,"Rated 5.0 out of 5,","One of A Kind Gastronomical ExperienceAt a glance, RM 675 did seem a little steep for a couple. But when the food …MoreOne of A Kind Gastronomical ExperienceAt a glance, RM 675 did seem a little steep for a couple. But when the food started leaving the kitchen & hitting our table, it was worth every penny. Beautifully presented & nothing short of perfection.The Amuse Bouche arrived literally smoking. A pan seared scallop topped with ossetra caviar accompanied by carrot & cumin sand, crispy duck & finished off with a cress. Just the presentation alone left us wondering what awaited. Once it it entered our mouths, we could only conclude that there was no better way to tease ones palate.Next up was the Foie Gras served on a bed of french brioche & accompanied by caramelised onion puree & grape juice reduction which was soft as a sponge cake & simply melted in our mouths. An absolute treat leaving you craving for more.Mid way, we had an assorted bread basket which were a mixture of store bought & home made delights which were so good that we couldn’t really tell the difference.Up next, the Lobster Bisque with the joy of having the wait staff pouring it table side. It was simply bursting with flavours from the pistachio spheres, corn kernels, lobster dust & poached lobster. It was rich & creamy with a lovely texture to it. We just couldn’t get enough of it!The cod fish arrived beautifully presented & pan fried to perfection, stewed in tomato consommé accompanied by saffron risotto, scallops, mussels & prawns. The Japanese Wagyu Beef was cook perfectly perfectly, medium rare & melted in our mouths. Accompanied with truffle mashed potatoes, burnt onion, porcini mushrooms, charred spring onion & Beef jus.Last but not least, no meal is complete without desserts. An absolutely mouth watering double chocolate accompanied by Ipoh white coffee mousse, pistachio gelato, sea salt, 23k edible gold leaves on a bed of almond crumbs. Absolutely delicious.Our full review is on Instagram (@monk3yseendo)",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Texier Jérôme,"Rated 5.0 out of 5,","One (and maybe) our best dinner since we are living in Malaysia.As French citizens, we normally not going to French restaurant but the menu was great and we tried. Everything was perfectly cooked (scalop, Foie Gras, Beef and …MoreOne (and maybe) our best dinner since we are living in Malaysia.As French citizens, we normally not going to French restaurant but the menu was great and we tried. Everything was perfectly cooked (scalop, Foie Gras, Beef and so on). Really Impressed and special Thanks to the staff who's been more than friendly.I strongly recommend.",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Chau Meifeng,"Rated 5.0 out of 5,",Perfect for special occasion. Great food and service. I would like to recommend to all of you to go early if you want to enjoy the beauty of nature  that surrounding of this place. Really worth the experience and I love every moment of it!,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
D Wind,"Rated 5.0 out of 5,","Amazing dining experience. Delicious food and excellent service. Came here for dinner with my wife as we were staying at the Banjaran.  When we arrived, we were brought into the amazing limestone Cave. The waiter was nice enough to help us …MoreAmazing dining experience. Delicious food and excellent service. Came here for dinner with my wife as we were staying at the Banjaran.  When we arrived, we were brought into the amazing limestone Cave. The waiter was nice enough to help us take photographs and suggest good angles for photography.The view was amazing. We were seated literally inside the limestone Cave and food arrived quickly. The food taste amazing and service was impeccable. After we had finish dining, we had the honour to be shown by Arun to Tan Sri Jefrey's personal wine cellar. The whole experience was mind blowing. This is definitely best fine dining restaurant we've been too. Looking forward to visiting this establishment again in future.",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
UWU,"Rated 5.0 out of 5,","Me and my wife choosed both ""Tanah"" and ""Chairmans Favourite'. Really impressed. A brilliant fusion of Malaysian Ipoh and Caucasian food with delicate flavoured entre which flows you to a superb herb and meat finale. The food expresses what …MoreMe and my wife choosed both ""Tanah"" and ""Chairmans Favourite'. Really impressed. A brilliant fusion of Malaysian Ipoh and Caucasian food with delicate flavoured entre which flows you to a superb herb and meat finale. The food expresses what the chef wants to deliver without overindulge of local palate and spoiling the concept of fine dining. The herbs and spices such as the galangal, i guess cekur, is cleverly being infused into the sauce, and its all from the nearby garden at the Banjaran. The staff are professional, and we had the hornor to meet Chef Ben who we expressed our delightful experience there. Also, you get to taste Chefs Boons secrect concoction of local rice wine, very fruity and fragrant, i heard made personally by his mom. The selection of liquors are also quite complete and price is worth the whole package. I want to say...Chef Boon and Ben, you guys are simply brilliant! Thank You.",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Ben Tam,"Rated 4.0 out of 5,","In all honesty, the location is gorgeous. A lot of money were put into up keeping this dry with high standard decoration, which fully this place very well. …MoreIn all honesty, the location is gorgeous. A lot of money were put into up keeping this dry with high standard decoration, which fully this place very well.Pro: very romantic place and nice music to accompany with the wine.Con: too little choice of wine if you just want a glass. Only 3 red, 3 white and 3 pink... The quality of the wine is very average and for a premium price... I guess you are paying for the location",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Jeannie L.,"Rated 5.0 out of 5,",Wonderful cave dining experience. Excellent service. Perfect for special occasions. Food is awesome! Their fine dine food may look little but it's not. I could barely eat anymore when it comes to desserts.,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
MissTina,"Rated 4.0 out of 5,","The restaurant itself is absolutely stunning, located inside a limestone cave. Talk about unique!The service is impeccable and the staff are well trained. The food is good, but …MoreThe restaurant itself is absolutely stunning, located inside a limestone cave. Talk about unique!The service is impeccable and the staff are well trained. The food is good, but we expected more for what you pay. There were two set course to choose from at 675rm each. Presentation of food was pleasing  but we’ve had better set courses at that price point. However you are paying for the ambiance so fair enough. The chef also came over at the end of meal, which was much appreciated.Jeff’s Cellar definitely has the WOW factor and a good place to take people if are looking to impress.",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
May Tio,"Rated 4.0 out of 5,","Dining in a cave, Very special dining experience. Ambience is magnificent (5☆). Food - 2 sets to choose from, western or M'sian. Taste & presentation- Quite ordinary and Chef did not prepare alternatives for seafood allergy diners (3☆).",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Chow Xiao Hong,"Rated 5.0 out of 5,",The entire dining experience was really great.Enjoyed it very much.Very professional staff. …MoreThe entire dining experience was really great.Enjoyed it very much.Very professional staff.Food quality was good.I love their Ossetra caviar panseared scallop as appetiser.,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
sahnie s,"Rated 5.0 out of 5,",Best experience I've had with fine dining. Food was creative and taste great.2 1/2 hours passed by without realising it...Worth trying and No regrets...,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
David Bovard,"Rated 5.0 out of 5,",A fantastic restaurant with a unique food quality. We enjoyed every dish of the Western menu.,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Andrew Tan,"Rated 5.0 out of 5,","Seclusive, absolutely stunning to dine in a cave!",Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Philip Nexus,"Rated 5.0 out of 5,",Great food and service. Recommend to  go early if you want to enjoy the peace & beauty of nature,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
Maizatul Ahmad,"Rated 5.0 out of 5,", ,Jeff's Cellar,"1, Persiaran Lagoon, Sunway 3, Ipoh, Perak"
