Author,Title,Review,Rating,Dates,Restaurant
JiggyKikiMalaysia,Acceptable dine,"Went for dinner. Set-up is typical chinese wedding style and comfortable. Service abd food came fast so there was no long wait. Ordered the curry prawn and was not blown away. Instead it's a wee perplexing. Fusion of thai and indian. The oster noodle is a generous portion. More than enough for 2. Meant to be eaten with vinegar else it's tasteless. Do give the qing loong vege a try. It is fresh and crunchy, really nice. Price point, it an upper middle range.Show less",3,Reviewed 30 September 2017 ,Teo Soon Loong Seafood Restaurant
JasmineLWT,Terrible lunch,The worst sweet and sour pork we ever had. Teochew style steam fish was fresh but tasteless. Oyster and braised noodles were so so only. Expensive and not worth. Will not come again.,1,Reviewed 17 September 2017 ,Teo Soon Loong Seafood Restaurant
lavend3rmistSingapore,Great oyster noodles,I haven't been to melaka for a few years and the last time I visited this restaurant was still at their old place. This new place is way cleaner and more spacious than the previous place so I was lucky that I could still walk in without reservation on a Sat lunch time. They only allow fixed sitting at 12pm and 1.30pm.I was craving to have their oyster noodles again and wasn't disappointed. Didn't get the teochew steamed fish this time but saw many other patrons ordering fish. The wu xiang roll is also very good and crispy without feeling oily on the outer skin. Would still be back again the next time i'm in melaka! Show less,4,Reviewed 17 August 2017 ,Teo Soon Loong Seafood Restaurant
"KoolBlueSingapore, Singapore",Average at best,"After reading some rave reviews about this place, our family decided to give this place a try. Having tried great Teochew cuisine over the years, the food here is average at best. Plus given the prices they charge, the quality of food certainly disappoints. For the amount we spent here, we could get much better quality food elsewhere. The other thing that puzzled us is that we were not allowed to add on to our orders once we have placed our orders at the beginning. Overall a very average experience in a highly rated place. Show less",3,Reviewed 11 August 2017 ,Teo Soon Loong Seafood Restaurant
"adsimsfKuala Lumpur, Malaysia",Will Return Again,Good Teo Chew food. The staffs were friendly and service was good. The dishes recommended by the waiter was excellent and the portion were just nice. The waiter will stop you to order too much unlike some other restaurant(s). Will definitely return when I go to Melaka again.Show less,5,Reviewed 31 July 2017 ,Teo Soon Loong Seafood Restaurant
CindyL3890,GOOD TEO CHEW FOOD,"Nice food, great service, friendly staff. Original teo chew taste! Must try signature oyster noodle. I had taste the best suckling pig ever!",5,Reviewed 28 June 2017 ,Teo Soon Loong Seafood Restaurant
SexyStern,Horrible Experience,"This is my first time visited this restaurant and one word to describe, disgusting. I have waited for 35 minutes until I was served for the first dish, for the fact that few tables beside me came later than me have already been served. The food is nothing more than dining in a hawker stall. The portion is small and it is extremely expensive. Feels like day light robbery.Show less",1,Reviewed 24 June 2017 ,Teo Soon Loong Seafood Restaurant
archmage,Another Boring Chinese Restaurant,Please add this to your list of yet another Chinese Restaurant. I attended a function last month and in due course ended up here for dinner. Dishes were run of the mill. Wouldn't recommend it. There are much more inspiring restaurants in Melaka.,2,Reviewed 24 June 2017 ,Teo Soon Loong Seafood Restaurant
Robin C,Excellent Value and Quality,"When we walked in the staff said they were full as reservations are made one week in advance. However they told us to wait for the next available table. The boss however gave us an unoccupied table after 5 minutes. We ordered a whole Roast Suckling Pig, Steam Pomfret, Braised Duck and other dishes. Prices were very very reasonable. Quality of the food was excellent. The suckling pig was very crispy and tasty while the pomfret was very fresh.Anyone who enjoys Teochew cuisine must try this restaurant when in Melaka. Please remember to book in advance.Show less",5,Reviewed 9 June 2017 ,Teo Soon Loong Seafood Restaurant
"Mcflick89Singapore, Singapore",Great authentic teochew food! ,"Place was very crowded! But we were lucky to get a seats for a group of 7! Ordered all the recommended dishes by the restaurant. Super love the traditional teochew prawn roll. However, do note that you must place all your orders at one go. They do not allow additional orders after which. Overall experience was good. Should come! Show less",5,Reviewed 5 June 2017 ,Teo Soon Loong Seafood Restaurant
"HarvardCatCatSingapore, Singapore",Over rated and rather pricey teochew fare,"Went there with a big party of 10. We made reservation and also preordered a suckling pig. We waited for about 30 minutes before we got seated. The suckling pig was served very quickly but I was quite disappointed with it. The dish was oily and the texture was chewy more than crispy. It was also rather pricey at MYR300. We ordered their signature and other popular dishes including steam promfret, bitter gourd with pork, egg omelette, oyster noodles, nor hiong, etc. The steam promfret (MYR120) was quite tough and the dish was served lukewarm. The other dishes were also mediocre at best. The yam dessert tasted weird as they addd spring onion oil. Overall, I find the place is over rated and pricey (our bill came up to MYR 700+, twice the price of a typical meal we paid at other restaurants). Will not recommend this place. There are definitely better and cheaper options in Melaka. Show less",2,Reviewed 22 April 2017 ,Teo Soon Loong Seafood Restaurant
VoothSingapore,Overrated,"Wanted to try since we saw a few posts but went there late at about 9pm. They mentioned last order was over and asked us to come back and offered to take our order in advance and so we did. Went back at lunch and was promptly seated, service was good. However, to me the food was overrated. We had the steamed pomfret which was ok, their signature braised duck, which was nicely braised but the portion was small and bony. Other dishes we had were stir fried vegetables, prawn roll (hay zhou) and their oyster noodles and all were just average. I would not go again if I'm in Malacca.Show less",3,Reviewed 16 April 2017 ,Teo Soon Loong Seafood Restaurant
erikag596,Get together ,I like the chicken wine soup the most! The location is easy to locate & easy to find parking too. Comfortable with air-con. Serving time is fast. Staff is polite & friendly.,4,Reviewed 15 April 2017 ,Teo Soon Loong Seafood Restaurant
"LoongMSingapore, Singapore",Fantastic Teo Chew restaurant ,"It was a splendid meal. We ordered favourites such as oyster fried mee, stewed duck and orh nee and all were outstanding. The service was also very good, although they were packed for the night. The two of us spent less than 90 ringgit for the meal. Show less",5,Reviewed 15 April 2017 ,Teo Soon Loong Seafood Restaurant
"meaningremissionSubang Jaya, Malaysia",Craving for Tiow Chiu cuisine,"This restaurant has since moved to a new place from the famous old shop in Jonker street. A much nicer and cleaner restaurant but the taste have changed, not as tasty has before where it was operated by the old uncle. Apparently, it's now run by his grandchildren. Still miss the old cooking. They still serve some of the old dishes but somehow, the taste has deteriorated. Sounds the same but doesn't taste the same.Show less",3,Reviewed 5 March 2017 ,Teo Soon Loong Seafood Restaurant
"josepho53Johor Bahru, Malaysia",Excellent Suckling Pig,"Had dinner with a few dinner associates and their wives in this restaurant and to my surprise I found the food in this restaurant excellent. This restaurant was before this located somewhere near to Jonker area but has since moved to this location.One of the best roast piglet I have eaten and it is a must is here. Another all time favorite and you must have is the oyster noodles which has been brought down from father to son.Among the other dishes we had was steamed bun with braised pork slices & yam, oyster omelette, stir-fried spinach, pork trotter and pork roll. All these we average in taste.But I do love the dessert which is yam paste with ginkgo nuts, which again is a must try in this restaurant.Just for the roast piglet, oyster noodles and the yam paste with ginkgo nuts dessert, I would give this restaurant a 5.Show less",5,Reviewed 23 February 2017 ,Teo Soon Loong Seafood Restaurant
ahliang9981,Great restaurant ,"Service is great! Food is good n authentic Chinese Teochew style. Remember booking is a ""MUST""! Walk-in on weekends will disappoint.",4,Reviewed 18 December 2016 ,Teo Soon Loong Seafood Restaurant
"Silver_MimiTawau, Malaysia",Best Chinese food in Melaka ,"I have been a fan of this restaurant since my first visit to their old little shop 10 years ago. I had my dinner there tonight at their new address and the food were extremely delicious , especially the bitter gourd braised with pork ribs. This dish was simple but comforting . I can gobble down 2 bowls of rice with just the gravy from this dish. Their signature oyster noodles were so savoury that I slurped down every bit of the dark soy sauce from the plate. The staffs were polite and efficient, especially the enthusiastic son of the chef/ boss. I would recommend this place to those who would like to have delicious decent Chinese food in Melaka with affordable price tags. To avoid disappointment , please call to make an appointment as this place is usually fully booked. Show less",5,Reviewed 16 December 2016 ,Teo Soon Loong Seafood Restaurant
Ernest K,Best Teo Chew Restr.,"Nice Teo Chew Restr. Good Service. Please book in advance as they are always pack. Specialize in Suckling pig(good) Oyster mee, steam fish..etc. A must to try when you are in malacca.",5,Reviewed 10 December 2016 ,Teo Soon Loong Seafood Restaurant
Olivia S,Food and more food,"We had an excellent meal with our girlfriends. We went there early at 12pm so we were the first customers. The waiters and waitress were young and was helpful. We liked the noodles, steamed fish and the dessert. Good food and a clean place. Will be back! Show less",5,Reviewed 9 December 2016 ,Teo Soon Loong Seafood Restaurant
Mouse-PrincessSingapore,Surprise if that is the best in Meleka ,"I was invited to Meleka for wedding dinner n my host booked this restaurant for our lunch. He said this is the best Teochew restaurant so maybe my expectation was too high, kind of disappointed after I tried the food. All the food were average. I only like the yam paste dessert....one of the best I Hv tried. Their specialty black noodle with vinegar taste ok too. The fish was well cocked but not tasty ... Show less",3,Reviewed 6 November 2016 ,Teo Soon Loong Seafood Restaurant
cin9y,suckling pig!,Chinese resturant. need to call in in advance if you would like to try the suckling pig! food was good.,3,Reviewed 2 November 2016 ,Teo Soon Loong Seafood Restaurant
Patric01,Nice Chinese Teo Chew Restaurant,"This is a pretty nice restaurant for having lunch or dinner.  Their bitter gourd with pork ribs, fried egg and bee hun are nice and enjoyable.  Their tao co sambal is very good as well as suckling pig (must pre order).",4,Reviewed 9 October 2016 ,Teo Soon Loong Seafood Restaurant
Bluejamzz,Good food but booking is a must to avoid disappointment,"After hearing good reviews, finally got a booking and went to try. Place is not that big but spacious road outside with plenty of parking.  Overall satisfying meal with all meals an above average rating imho.  Great for family dining",4,Reviewed 29 September 2016 ,Teo Soon Loong Seafood Restaurant
"RaymondHoSingapore, Singapore",Same classic Teochew cusine in brand new location,"Teo Soon Loon Chan Kadai Makan has moved from 55 Jalan Hang Kasturi to 42 & 44 Jalan KPKS 1, Kompleks Perniagaan Kota Syahbandar with air-conditioning and can now cater to 20 tables. The steamed Tao Cheoh Pomfret, Oh Luak Oysters, Coffee Pork Ribs, Ngo Hiang, Glass Lettuce, Foo Yong Omelette, S.P. Buns and Oh Nee Yam Dessert tastes just deliciously same. Total bill for 11 of us with 4 Carlsberg & 1 Guinness came to MYR538.10Show less",4,Reviewed 25 September 2016 ,Teo Soon Loong Seafood Restaurant
"BabaSeowMelaka, Malaysia",Lacking of the Wow Factor,"I visited this restaurant with my family early this year. I was told by my dad that this eatery has been around for decades from father passed down to his son. I was told the cooking used to be way better back in those days when this was just a small restaurant near Jonker Street. Based on my taste buds the food tasted fine but nothing to shout about as their dishes are in lack of the Wow Factor. The owner who happens to be Chef greeted us and he explained to us briefly about his dishes sounding really proud of his cooking skills. In my opinion the cooking capabilities of the chef should be at our discretion to evaluate.Lack of space hence the need to ensure guests book tables and arrive in a timely manner. Retro posters of old advertisements and old Chinese celebrities can be seen pasted unto their walls which is somehow a good effort to relinquish the dull looking interior by bringing in the old school feeling.Place seems clean and service is not too slow even during a full house. Overall , its a good place to try out Teochew food but nothing spectacular.Show less",3,Reviewed 14 September 2016 ,Teo Soon Loong Seafood Restaurant
"XavierTanSingapore, Singapore",Teochew Food To Go Back For,"The food at this place has been consistently good over the years. Steamed fish, bittergourd with pork ribs, oyster noodles and braised duck are the dishes we order every time, and they never disappoint. The special chilli paste is absolutely delicious too. Service is very friendly and efficient. This is definitely one of the better Chinese restaurants in Malacca.Show less",5,Reviewed 4 September 2016 ,Teo Soon Loong Seafood Restaurant
"auntiedorisIpoh, Malaysia",Lost the Magic of Homely Restaurant,We had very good experiences during our 5 days stay in Melaka two years ago. The food was fantastic and the young man was friendly. He was all the time ready to share local good food. His hospitality and friendliness would always made you very comfortable in that small and old outlet. We went there yesterday but the whole atmosphere had gone. He was there busy with mobile phone and could not bother to look at his guests. The food standard had dropped tremendously.Show less,3,Reviewed 24 August 2016 ,Teo Soon Loong Seafood Restaurant
"XYZP-SGSingapore, Singapore",Good suckling pig but had better teochew food elsewhere,"Suckling pig was good, requires advance reservation; just as well as you need to reserve a table too. It's prepared in anticipation of your arrival so it's served almost immediately after you placed your order for other dishes.Braised cabbage with sea asparagus was good, heard the bitter gourd with pork ribs were good was well but that was sold out.The signature oyster noodles were disappointing. Miserably small oysters that didn't taste fresh, noodles tasteless. I say leave the black noodles to the Hokkiens, teochews do kway teow (unfortunately I heard TSL's chai por kway teow is mediocre).Also had ngoh hiang, braised duck, orh nee, chai por omelette, all were decent but none was outstanding.Disappointed with braised duck because teochews are the best in braised duck, sadly not here.Chai por omelette was delicious but taste more like carrot omelette instead.Overall, a decent meal but there's much better teochew restaurants in SG (albeit costlier). Nonetheless, at RM250 for the crispy suckling pig, this would warrant a return visit.Show less",4,Reviewed 23 August 2016 ,Teo Soon Loong Seafood Restaurant
"shanrysetia alam, klang valley",Best restaurant experience,"Food -thumbs up! Service - double thumbs up!! Suckling pig, oyster noodles, steamed fish etc all yummilicious. And service needs special mention. As a Malaysian having eaten in so many Chinese restaurants, this is the best I've seen. The staff is pleasant, attentive, more than willing to answer any questions even if it means checking with the chef several times about the contents of each dish - absolutely excellent!!! I'm chronically allergic to crustaceans & most restaurants I've been to barely give a cursory response to my questions on the food content. This was a breath of fresh air indeed.Show less",5,Reviewed 20 August 2016 ,Teo Soon Loong Seafood Restaurant
DominicY35,Lost the Magic after moving to New Location,"Having very great experience from their original old outlet at Jonker Street, we were looking forward to dining at their new place. Proved to be a utter disappointment.Food standard was way below what it used to be. Oyster Noodle and braised duck was bland, no ""Wok Hei"" whatsoever. Left with a bitter taste and disappointment. They have lost their nostalgic Teochew touch to their cooking.Will not be back.Show less",3,Reviewed 10 August 2016 ,Teo Soon Loong Seafood Restaurant
WarrenH750,"Teochew food without a soul: clean venue, good service but bland taste","We had great expectation for the restaurant and were very happy to grab the last table of the night when we called for reservation. It has moved out of Jonker Street to a new development that is a bit hard to reach for tourists.We were disappointed by the pared down menu, a renowned seafood restaurant without soon hok fish and grouper, no fresh prawn but only pomfret! It lacks the other signature Teochew dishes such as cold crabs, marinated goose etc. either.It makes wonder if it has been acquired by a PE fund such as L Capital ...Show less",3,Reviewed 8 August 2016 ,Teo Soon Loong Seafood Restaurant
carroth2016Singapore,Good ole Teo Soon Loong Restaurant ,"Simple good teochew food. 6 adults. We ordered 8 dishes - Oyster mee sua, braised sea cucumber, stewed duck, fish maw seafood soup, minced pork spring roll (ngo hiang) , BBQ pork ribs, yam paste dessert, rice and drinks. Total cost M$334.10 inclusive of gst .The sea cucumber dish is a must-order dish. Value for money, cost M$169 (abt S$56). It is braised to the right texture - soft but firmed. Served whole (abt 9inch long n 4.5inch wide), so you have to cut into a few pieces yourself. Definitely good quality sea cucumber as it has soft spikes on the outer surface. Closed on every Monday. Tel no: (I) 06-2880209 and (II) 012-6035464. No 42844, Japan KPKSI, Komplex Perniagaan Kota Syahbandar, 75200, Melaka. GPS coordinates - E:102'13'55.9'/N:2'11'50.5'. Opposite 707 Hotel. Opening hours: 12pm-2.30pm; 6pm-9.30pm.Show less",4,Reviewed 30 July 2016 ,Teo Soon Loong Seafood Restaurant
"wildfloweredSingapore, Singapore",Great find,"They've moved somewhat out of the city and are now a little hard to get to unless you have a car. But on the upside, they are now much bigger and parking is a breeze. Still serving the same great hearty food at reasonable prices. Reservations recommended, especially on weekends.Show less",4,Reviewed 16 July 2016 ,Teo Soon Loong Seafood Restaurant
"Panda6551Singapore, Singapore",Simple and Yummy,"They use to be a small ""hole in the wall"" restaurant at the Jonker Street area. This is a welcome change. Lots of parking space.We had the oyster noodle and mee sua, which was tasty and felt like it was braised. The oyster omelette was fully, the kong bak pau with yam was glorious. Not too much fat on the pork meat and the sauce was just right. We also had the teow chew money bag as starter.Meal ended with yam paste desert. Divine !Need to book to avoid disappointment. GPS co-ordinates E: 102'13'55.9' N:2'11'50.5'Show less",4,Reviewed 5 July 2016 ,Teo Soon Loong Seafood Restaurant
Jeremy_C_MH,'Destined' to return here .... hmmmm,"After a tapas restaurant goofed up our reservations, we somehow ended back here.
 
Still ok, the local veg is still great, as was the  bittergourd & pork.

But the kong pa pau standard was really dropping in quality :(",3,Reviewed 2 July 2016 ,Teo Soon Loong Seafood Restaurant
"kennlaicPuchong, Malaysia",If you love with TeoChew foods - must try ! ,"General -: @ 19/06/2016 - friendly staff & boss - good foods , environment , clean Price -: - reasonable price Weekends & holidays -: - must do booking to avoid long waiting Q up .Note -: - * not sure why the setting for beverage counter set next to toilet entry position ??? - * personal prefer the wash basin bottom park be coved or not put any cleaning tools.. Show less",3,Reviewed 19 June 2016 ,Teo Soon Loong Seafood Restaurant
greenestbubbles,Fantastic Teo Chew food,The food was delicious and the portions are good for sharing. Just make sure youake a reservation earlier as they are filled up pretty fast. Reservations can be made via whatsapp which is pretty cool.,5,Reviewed 14 June 2016 ,Teo Soon Loong Seafood Restaurant
Phelino C,"Nice Ambiance, Reasonable Quality",The location is strategic as its located outside of the usually congested melaka raya area. The food was good with some unique dishes. Its recommended to make reservations before arriving as it gets pretty packed especially during weekends.,4,Reviewed 11 June 2016 ,Teo Soon Loong Seafood Restaurant
"donovanSYSingapore, Singapore",Simply amazing,"First visited this restaurant when they were located near Jonker street. It was a quaint lovely old place then and now its in a sparking new complex further from town.The food still taste amazing, the oyster noodles, the suckling pig, the yam desert, the steamed fish-promfet were simply amazing. Not too salty and not too sweet or heavy.Standards did not drop with the location shift.Cannot wait to visit this place again.Bookings especially during Jun or December when hordes of travelers visit this Meleka is a must.Show less",5,Reviewed 6 June 2016 ,Teo Soon Loong Seafood Restaurant
"E5711HHandytSingapore, Singapore",Not worth the price.,"I placed a reservation 2 weeks before arrival and ordered a suckling pig. Upon arrival, there was a promotion menu of RM850 which included the suckling pig and a few items which I wanted to order originally. So I took the promotion package which is nett price and included the tea and service charge. Firstly, the suckling pig texture was jus not right. The skin was crispy, but when you take a bite of it, the fats and meat could not be detached from the skin. They whole piece remain chewy in your mouth. The steam pomfret is over cooked. And it is lukewarm when served. And some of the shell of the prawns stuck to the meat when shelling. The recommended oyster noodle was blend. I asked to replace one dish with the duck which taste ok, no wow factor. The rest of the dishes taste just ordinary. For this price, I seriously would not recommend. Show less",2,Reviewed 31 May 2016 ,Teo Soon Loong Seafood Restaurant
"huiling16Kuala Lumpur, Malaysia",Good Teo Chew food in Malacca,"The food is one of the finest Teoh Chew restaurant I have tasted. And parking is so much easier. Strongly suggest to call and reserve before you go there: it is fully booked even in week days. I craving of the oyster noodles with black sauce even better when you add vinegar, . the fish we had is really fresh and nice, we order traditional Teo Chew stewed duck and I found it finger licking good and ending with the yam paste with fresh gingko nuts.Show less",5,Reviewed 25 May 2016 ,Teo Soon Loong Seafood Restaurant
Esther8833,great taste ever,"enjoy the great meal with ""home"" taste... something different from the others .. 
miss the oyster mee soooooooo much...",5,Reviewed 25 May 2016 ,Teo Soon Loong Seafood Restaurant
"edwinlycSingapore, Singapore",Great food at reasonable price,Enjoyed the meals and service is good. We had our lunch at the restaurant. Do note the last order for lunch is 2.30pm. I do advice to call and reserved the table if you are going in a big group. Our group felt the orh nee portion is quite small for a group sharing but it is delicious. Show less,4,Reviewed 22 May 2016 ,Teo Soon Loong Seafood Restaurant
"Robin CSingapore, Singapore","Good service, nice ambient ","The service from the staff is good. Friendly and welcoming. We observed that they are attentive to diners' need during our dinner there. This provide a positive dining experience as a first time customer.As for the dishes, it didn't leave me a strong impression, just average in my opinion. I'll return again or recommend this restaurant as long as their service is good.Show less",4,Reviewed 21 May 2016 ,Teo Soon Loong Seafood Restaurant
tweensong,great taste but pricey,"Quite nice Teochew's food delights, they provide a good environment but the price consider little high......",4,Reviewed 14 May 2016 ,Teo Soon Loong Seafood Restaurant
Brendan Yong-Ke... P,Melaka 2016 SAS old boys reunion,Best Teochew restaurant in the world! Food was simply fantabulous. Thanks to our Melaka friends Hau and Alex for introducing.,5,Reviewed 17 March 2016 ,Teo Soon Loong Seafood Restaurant
"Jeremy_C_MHSingapore, Singapore",Not bad la - a near yearly visit,Usual black noodles is good.Salted egg squid is really nice.The kong bak pau was cold !!! - had to reject it - it subsequently caused someone in the family the runs. The fish was really good - cleaned it out !! And the veg - nice and fresh ! Show less,3,Reviewed 21 February 2016 ,Teo Soon Loong Seafood Restaurant
PatYKC,Amazing PIG !!!!,"The suckling pig was and is one of the best I ever had ! Not sure how much it is as my cousin paid for it but it was good. 
There's a pic that paints a thousand words. Enjoy this place !",4,Reviewed 24 January 2016 ,Teo Soon Loong Seafood Restaurant
"Sia65Singapore, Singapore",Nothing special..,"My first visit to this restaurant. Felt that the food is not that fantastic. Probably over-rated. Waiters were too enthusiastic. After first waiter took our order, poured our drinks or checked if the Teapot was empty. Another would come within 1 minute to check again. It's quite disruptive for conversations.Show less",3,Reviewed 21 January 2016 ,Teo Soon Loong Seafood Restaurant
MyLittleLife,Authentic teo chew cuisine,Went there recently for granny's bday celebration. A great place for family dining. Food was very nice.excellent customer service!staff are helpful and very responsive. Thumbs up!,5,Reviewed 20 January 2016 ,Teo Soon Loong Seafood Restaurant
Chow Hock SSingapore,Not as good as I thought it should.,"This is new site for the restaurant, The decoration is not upscale enough, and does not fit into a laid back type of Melaka restaurant. It is still a popular restaurant among the locals. Reservation is required. When you enter the restaurant, all the staff ( yes, it is all) will greet you loudly to make you feel welcome. But this will happen to all guests entering or leaving the restaurant. As such, you may not have peace of mind to dine. The dishes are not great or special. The waiter can't wait to clear the dishes whenever you are almost to consume each dish. Price is reasonable. Show less",3,Reviewed 12 January 2016 ,Teo Soon Loong Seafood Restaurant
RichardChiaB,Not as good as at Jonker ,"Ordered the oyster noodle but no oyster today. Replaced by Brai noodles. Too dry.
Ngo Huang and Pomfret fish. Total bill RM $118.",3,Reviewed 31 December 2015 ,Teo Soon Loong Seafood Restaurant
"XiangLi12Macau, China","Not nice, bad service, not worth your money!","We ordered suckling pig which was too dry and it's not me alone who felt that way. I thought it was my problem but everyone on the table also complained the same thing. The other dishes were not up to standard also. We ordered steam fish which was NOT fresh! Service provided was very bad! I remember one waiter who can't wait to just serve all the dishes at one time, like telling us to FASTER EAT AND LEAVE! They even keep looking at you when you eat! Very rude! They didnt mind to hear your request at all, we ask for the dishes to be served a little slower but they didnt care! Total price was so expensive even though we ordered just a few dishes. I can say any chinese restaurant is far far better than this one!Show less",2,Reviewed 24 December 2015 ,Teo Soon Loong Seafood Restaurant
"dickwanSingapore, Singapore",Lunch,"1st visit to the restaurant. Called 2 days before to make booking for a table. Also pre-ordered a roast suckling pig. After submitting details received a Whatsapp message for confirmation and also the full menu and directions to the place. Very efficient indeed. The pig was really yummy; crispy skin and succulent meat but not at all oily. Other dishes also tasted good and the yam paste dessert deserves special mention. Price, in my opinion, is reasonable for the standard of food served. Staff were very attentive and friendly.Show less",4,Reviewed 24 December 2015 ,Teo Soon Loong Seafood Restaurant
tenglenglim,Very value for $$!,"Had roast suckling pig, 6 dishes and yam paste. Coated around 600+ RM. For the group of 12 persons, it worked out to be $10+ per person. It was definitely worth the money.

The promfret is a must! It was very fresh!",5,Reviewed 21 December 2015 ,Teo Soon Loong Seafood Restaurant
Faeza A,Yummy Chicken Rice,"If you like the Bukit Bintang Chicken Rice, then you must try this one for sure! Really love love love the steamed chicken, so juicy and tender plus its Halal. Must try!",5,Reviewed 22 November 2021 ,EeJiBan Chicken Rice Ball Halal
"neversaydontPetaling Jaya, Malaysia",If u are looking for better,If u are looking for better hygienic place to dine in. Yes I think this is one of the best choice in Melaka. Personally the food to me is better than average but somehow I can eat peacefully instead of worrying some of the staff that do not follow SOP at this moment.So I would recommend you guys to have a “safe” meal here instead of the taste itself.Show less,4,Reviewed 30 April 2021 ,EeJiBan Chicken Rice Ball Halal
mushroom001,good dinner,takeaway is much faster as there's a long queue during main meal time. the taste is okay. the rice ball is really nice.,4,Reviewed 3 January 2021 ,EeJiBan Chicken Rice Ball Halal
MizSally24,Authentic chicken rice in town,"If you want to eat chicken rice balls with tender steamed or roasted chicken, this is the place. Avoid dining peak hours, come early or later to savour the chicken rice.",4,Reviewed 26 December 2020 ,EeJiBan Chicken Rice Ball Halal
creaboulait13,Good lunch place that kids will love,"Unique twist to the usual chicken rice. Plenty of nyonya dishes to choose from too, if you are not a fan of chicken.

Good SOP in place during COVID. Recommended!",5,Reviewed 20 December 2020 ,EeJiBan Chicken Rice Ball Halal
"mohdoqbaKuala Lumpur, Malaysia",Over the years same fantastic taste and quality,"Whenever we visit to Melaka, its complete with out having a meal at this place. I love the food and the humbleness of the owner. In this struggling RMCO time he greats us with a smile and I hope he keeps this establishment open for years to come. The chicken rice balls are yummy as always and both steam and roasted chicken are superb. And who can resit the spicy asam pedas fish and umami of fishball soup.Show less",5,Reviewed 25 September 2020 ,EeJiBan Chicken Rice Ball Halal
penangbatu,The manager was hostile and arrogant!,"The manager was hostile and very rude to us! This is unacceptable behavior to tourists to Malacca.The food was fine but really spoilt by the service and attitude!
i do not recommend if you are a tourist.",2,Reviewed 6 September 2020 ,EeJiBan Chicken Rice Ball Halal
"KLbizTravellerKuala Lumpur, Malaysia",Good food - too much hype,"Overall, the food & service was good. However, I would not list it as one of the ""Greats"". I would recommend trying it at off peak hours as the queues can be long. Honestly, you could get equally good chicken rice at other places minus the hassle of queing and squeezing into tables with strangers. But hey, that's all part of street eating in Melaka for your instagrammable moments... : )Show less",3,Reviewed 20 February 2020 ,EeJiBan Chicken Rice Ball Halal
"OctopauloMelaka, Malaysia",Sumptuous HALAL chicken rice,"When you’re in town with friends and family with non-pork preference, please go to Ee Ji Ban; where I always found to be reasonable at their price and especially their impeccable service etiquette that you don’t wanna miss during your Malacca hectic traffic, EJB is the place to chill you down with sumptuous chicken riceShow less",4,Reviewed 20 January 2020 ,EeJiBan Chicken Rice Ball Halal
Larriechan,Worst Chicken Rice Ever,Came to this place after seeing long queues during lunch hour outside the place. Decided to give it a try and oh my the taste is so bad. Portion is small and taste is mediocre. Don’t understand what the hype is about.The chicken taste like it was roasted for just 5 mins. Seriously a normal chicken rice stall in Singapore will beat it hands down.Price is so so portion is small too. Come to this place if you want to be disappointed. You will be so much more satisfied skipping two meals here and having one proper one in one of chicken rice chains in Singapore.Show less,1,Reviewed 28 December 2019 ,EeJiBan Chicken Rice Ball Halal
iamkayoh,Nice chicken rice balls,"Nice chicken rice balls and dishes. 

Both roasted and steamed chicken are very nice. Meat is tender and not too fat. 

Garlic Kang Kong is nice too.",4,Reviewed 20 December 2019 ,EeJiBan Chicken Rice Ball Halal
Cadenza88,Returned visit,Went back again with family the second time. The first visit was couple of years back. Still tasted good and worth the time in the queue. The kids love it!,5,Reviewed 15 December 2019 ,EeJiBan Chicken Rice Ball Halal
"manhattan64Hong Kong, China",Popular Local Joint for Chicken Rice Ball,"This place is recommended by a nice young lady selling ice cream on Jonker Walk. We saw the place is fully packed and with 1 table available so we were lucky not have to wait. The fish balls in the soup was tasty and bouncy. The steamed chicken was tender, the Assam Mackerel Fish was excellent and we love the sauce. Since it’s a Halal restaurant so no alcohol beverages at all.Show less",4,Reviewed 8 December 2019 ,EeJiBan Chicken Rice Ball Halal
"esquire838Kuala Lumpur, Malaysia",Authentic Hainanese Chicken Rice,"What they are good at is the authentic Hainanese style chicken rice: rice steamed with chicken stock, and steamed or roasted chicken. If you are on a budget then the basic chicken rice dishes suffice. Thats where the reasonable price commensurates.Above that, when you start ordering other supplementary dishes in the menu, the value for money drops and the whole affair becomes a tad pricey for what you get. The portions for the supplementary dishes are small for the price you pay. They have not factored in taxes in the prices either so be forewarned. Show less",4,Reviewed 22 November 2019 ,EeJiBan Chicken Rice Ball Halal
"Misz SKuala Lumpur, Malaysia","Bad service, disappointing quality. Terrible and overpriced food.","Visited just because the hype of it but very disappointed with the service and quality of food. Ordered chicken balls, roasted chicken and sotong salted chili with petai. Total failure. The sotong chili small size cost rm23 comes with small slices of sotong totally overpriced. To make things worse I witnessed w my own eyes the restaurant manager asked a person to leave as she just want to sit there with her friend as she is vegetarian. He insisted that the restaurant is for serious diner who must order complete set of rice no less. For me it's a total turn off and will not come again and will not recommend for others to come.Show less",1,Reviewed 17 November 2019 ,EeJiBan Chicken Rice Ball Halal
Nur I,The best rice-ball in town,"Nicely done food, roasted chicken was amazing. Fast service. Had a great time with family. Definitely coming back.",4,Reviewed 16 November 2019 ,EeJiBan Chicken Rice Ball Halal
tinkikuttih,Nice delicious chicken rice,Want to try something new. Try their chicken rice ball. Halal certified. Fast service. Staff are nice and friendly. Yummy delicious food to try.,5,Reviewed 28 October 2019 ,EeJiBan Chicken Rice Ball Halal
