Author,Title,Review,Rating,Dates,Restaurant
TomMontagnani,Very good food!,"Very nice light falafel, good presentation! The place is clean, simple but nice. Try some iced lemon tea (no sugar) for a very refreshing drink 😉",5,Reviewed 16 February 2020 ,Alhamdulillah Restaurant
adamsweita,Awesome food,"Super delicious food and good prices!
Me and two friends ordered 5 dishes and we got them at the same time. Super tasty!",5,Reviewed 12 February 2020 ,Alhamdulillah Restaurant
"AuvoKSliema, Malta","Family-cooked meal, just as if visiting a friend’s house","Intriqued by the good reviews and suggested dishes went in on a Wed night dinner. Got very attentive service by the host, were treated just as friends visiting their home. Food was simple but outstanding in quantity and quality yet very modestly priced. No doubt, a place well worth a visit if in Langkawi.Show less",5,Reviewed 5 February 2020 ,Alhamdulillah Restaurant
Compass715407,Great food,Everything was very good. True and honest syrian food. Great prices and a fantastic welcome by the owner.,5,Reviewed 4 February 2020 ,Alhamdulillah Restaurant
grisa300,Good food!,"We tried to come here to eat earlier this week, but they were closed. Recommend to call them and make sure that they are open and maybe book a table. Food was delicious, after one hour of arring we did have foods, so prepare to wait a while. Chickenswarma was delicious!! Really good food, worth trying.Show less",4,Reviewed 1 February 2020 ,Alhamdulillah Restaurant
momdsag,Good but not as the other reviews ,I read the restaurant reviews in tripadvisor and I went there because of that I try the shawarma which is OK but not that much delicious.Also I try two types of kabab.The restaurant overall is good but all kind of food will prepare after your order which will take long time of waiting also the restaurant is very small.Show less,3,Reviewed 20 January 2020 ,Alhamdulillah Restaurant
chechearoundtheworld,Best food in Kuah!,We went there twice and allways got delicious food and good service!We tried falafel and chicken shawarma.,5,Reviewed 17 January 2020 ,Alhamdulillah Restaurant
"ErinJ85Brisbane, Australia",Unexpected gem tucked away in the side streets of Langkawi,Lovely (and cheap) middle eastern food but the best thing about this place is the family who own. They are Syrian refugees who have started this business from nothing and have got by cooking yummy and authentic home cooked Syrian food. Meeting the owner was a real privilege and I hope that he is able to continue to thrive after his family's adversities. Had the shwarma and garlic sauce and it was very yummy! Show less,5,Reviewed 16 January 2020 ,Alhamdulillah Restaurant
"Ryano1978Toowoomba, Australia",Great little restaurant ... Amazing Food,"My wife and I went here last Saturday night for dinner, met at the door by an open sign that was lovingly created by the owners Daughter who coincidentally offered him use of her play cash register for the nights takings - very cute. We both had the Chicken Shawarma and it was absolutely delicious. Will definitely go back next time we are again in Langkawi.Only a small family run restaurant, so get in early if you want to guarantee a table.Thanks for a great meal.Show less",5,Reviewed 13 January 2020 ,Alhamdulillah Restaurant
"vaccation_HStockholm, Sweden",Fantastic food and great service,"Fantastic food and great service by the owner.One of my top 5 best meals in life. Do not miss a visit to this place when in Langkawi, you won’t regret the investment in time.Show less",5,Reviewed 7 January 2020 ,Alhamdulillah Restaurant
Kandbtravelspree,Excellent Shawarma,"My husband and I visited our first night in Langkawi. The shawarma was excellent, and the owner was very gracious. We arrived early to avoid a crowd and enjoyed a nice, quiet meal. A must try!",5,Reviewed 7 January 2020 ,Alhamdulillah Restaurant
"paulwaldnerLondon, United Kingdom",Wow! ,"Wow! Genuinely one of the nicest meals I’ve had in such a long time. Food was terrific with a lovely host, very personable and passionate about the food and service he was delivering. We were lucky to have called ahead and made a reservation! Thanks again! Show less",5,Reviewed 5 January 2020 ,Alhamdulillah Restaurant
Mobile742225,Great food and excellent service!,Great food and excellent service! Very good falafel and Foul. The restaurant was very clean and modern.,5,Reviewed 5 January 2020 ,Alhamdulillah Restaurant
mmariya85,Excellent food & impeccable service!,This place definitely live up to its No. 1 ranking. Rami was a very cordial host and talked us out of over ordering food. You could tell he cares about this customers and their experience.We visited the restaurant twice during our stay in Langkawi. We enjoyed the chicken shawarma and the grill fish during our first visit. For our 2nd visit we had pre-ordered the whole chicken stuffed w/ rice. All the food we tried was excellent.It’s a small restaurant so make reservations or manage expectations accordingly. We highly recommend this restaurant. Show less,5,Reviewed 4 January 2020 ,Alhamdulillah Restaurant
MoezR2,Excellent !,"if you want a real authentic syrian food, this is the adress. Très bon plats variés, service impeccable. A recommander sans modération !",5,Reviewed 2 January 2020 ,Alhamdulillah Restaurant
"MrMmmmmmmmmmmmmHuizhou, China",One of the best meals ever,"One of the best meals I’ve ever had in my life. It is a small operation. There was one table before us and we did have to wait 45+ minutes for our food, but the owner did warn us and was very considerate. Literally the food... it could not have been better. The chicken shawarma, beef kabob and humus were so packed with flavor. Blew my mind with every bite. Show less",5,Reviewed 29 December 2019 ,Alhamdulillah Restaurant
holidaygirlWaikato,Great food!,Excellent food! Freshly prepared! Friendly service! Good atmosphere! A really yummy meal ! Thank you!,5,Reviewed 28 December 2019 ,Alhamdulillah Restaurant
"wander-travel789Sydney, Australia",Best middle eastern food! ,We had dinner at this small family run restaurant. It is very clean and simple but nice atmosphere of Syria homeland. The hummus and Chicken Shawarma were divine. The falafel and beef skewers were very good. There was a bit of a wait for our meal but it was worth it. The owner takes pride in his restaurant and his food. We would happily return if we had more time! Show less,5,Reviewed 22 December 2019 ,Alhamdulillah Restaurant
EatDrinkSleepDo,Extraordinary food and value. ,WOW. Just magnificent. The owner fed 3 adults and 2 x 16 years olds with an absolute feast. You must go here. Note thou - he is a one man band so he will take you order and then disappear behind the curtain. He literally limits the amount of people in the restaurant so he can ensure quality. All his food is freshly cookedShow less,5,Reviewed 22 December 2019 ,Alhamdulillah Restaurant
"Freedom786580Syracuse, New York",You must try the Syrian falafel,You must try the Syrian falafel shawarma & fatoosh & fish delicious الاكل بيشهي ونظيف وكلشي مرتب بلتوفيق ياربي Show less,5,Reviewed 17 December 2019 ,Alhamdulillah Restaurant
louaym308,Best place to eat syrian food in langkawi,"Nice & clean restaurant with very friendly staff. The food is authentic, delicious. The best place I eat syrian food in all Malaysia.",5,Reviewed 13 December 2019 ,Alhamdulillah Restaurant
"XeraphimmHong Kong, China",100% recommended.,"The restaurant food is very lovely and delicious! My husband and I had come to this restaurant 3x during our trip to Langkawi because we just absolutely loved it. The owner was so kind and very friendly. My opinion on the food: it’s very authentic and delicious. Very well seasoned, halal, vegetarian-friendly!!!We would definitely come back here when we visit Langkawi again!!! 100% recommended! Show less",5,Reviewed 10 December 2019 ,Alhamdulillah Restaurant
J7453DNmatthewk,One of the best meals we've had!,"We've been travelling around SE Asia for 5 weeks and this was by far one of the best meals we've had. We both had the Chicken Shawarma and shared a hummus and it was absolutely delicious. The owner saw me drinking some of my wife's water to take some tablets and offered to give me the water for free as he thought I'd bought it to take tablets. This was such a kind offer, but I was happy to pay for it. They also don't charge a 10% service charge which I've noticed a lot of restaurants do. I'd recommend this restaurant to anyone visiting Kauh in Langkawi, I'd definitely go back if I was to return. Show less",5,Reviewed 4 December 2019 ,Alhamdulillah Restaurant
Sami_El-Ghrably,Your Destination for Arabic Cuisine In Lankawi pl,"An excellent restaurant with friendly staff and warm atmosphere.Food is nice and very well made.If you want to try Arabic food in Lankawi, make this as your first option and you won’t regret it. Show less",5,Reviewed 3 December 2019 ,Alhamdulillah Restaurant
"jackfT1306HQHong Kong, China",Absolutely recommended! ,"It was our first day in Langkawi and my wife and I decided to come to this restaurant. I would say we absolutely loved it! The food was phenomenal and so delicious!!! The guy that welcomed and served us was so considerate, friendly and kind to us. The restaurant has a nice atmosphere. We ordered 1 Syrian Falafel, 1 Syrian Beef Kebab and 1 chicken shish with Arabian Rice and all of that for a reasonable price considering how delicious the food is. Would DEFINITELY RECOMMEND! We’ll go back again for sure! Show less",5,Reviewed 3 December 2019 ,Alhamdulillah Restaurant
hallothere,Awesome food and service,My wife and I went to this little Syrian restaurant for dinner; the food was extremely delicious. The price is also very reasonable. We recommend both the dishes as shown in photos.,5,Reviewed 3 December 2019 ,Alhamdulillah Restaurant
"saf_bhamBirmingham, United Kingdom",Delicious Authentic Home Made Syrian Food,Lovely little family restaurant with a warm and welcoming atmosphere. The food is cooked by the family and as authentic as it comes. I had the chicken shawarma and I didn’t know the humble shawarma could taste so good. Best shawarma I’ve had. My wife has the kasba chicken and rice. Chicken was soft and flavourful. The rice was full of flavour too. We also had hummus which tasted so fresh. All I can say is the reviews don’t lie. We got a grab taxi here and it was a great final dinner on the island before our onward travels. A must try if you are in Langkawi. Show less,5,Reviewed 26 November 2019 ,Alhamdulillah Restaurant
Ibby96,10/10 food and service,Really lovely service owner was welcoming and food was good authentic arabic food recommend the chicken,5,Reviewed 25 November 2019 ,Alhamdulillah Restaurant
TheOtherSideVlog,BEST MIDDLE EASTERN FOOD ON LANGKAWI,"Our meal was so delicious that we came back another day for more! The owners are from Syria and their food is so authentic! It was some of the best middle eastern food I have ever had, especially the rice... JUST WOW! We loved the chicken shwarma, falafel and hummus! But you can't go wrong with anything on the menu. We hope to be able to go back someday for more because we are already missing it! WOOT WOOT!Show less",5,Reviewed 18 November 2019 ,Alhamdulillah Restaurant
"marcwint55Los Angeles, California",Fantastic Langkawi restaurant with excellent food,"This restaurant is ranked #1 on trip advisor and well deserves the ranking. The food was fantastic, the service was excellent and the owner was one of the friendliest restaurant owners I have ever encountered. The chicken shwarma was recommended and it is amazing. The owners are Syrian refugees who left their homeland with nothing and now run a very successful restaurant that is just great. The atmosphere is casual and the prices are quite reasonable. I can't say enough to describe how wonderful the food and the people are.Show less",5,Reviewed 12 November 2019 ,Alhamdulillah Restaurant
Jibber123,Excellent food for a reasonable price,"We had a fantastic meal here, the owner was incredibly welcoming and provided excellent service. The food is delicious authentic syrian cuisine made from fresh ingredients which the owner and his family eat themselves, so you know it’s good!",5,Reviewed 8 November 2019 ,Alhamdulillah Restaurant
"Johann RTagum City, Philippines",This place is extraordinary,"Going to a particular restaurant may have various reasons: It could be the food and that's it. With this restaurant it's a bit different coz here excellent food is combined with a very welcoming host who represents the 'soul' of this place. I enjoyed not just a well prepared meal but also the interesting story the owner shared with me. The truckload of positive reviews are NOT a coincidence, it is the personality of the owner giving his restaurant a special flavour.Show less",5,Reviewed 4 November 2019 ,Alhamdulillah Restaurant
94yasserh,Excellent ,Amazing food with even better hospitality. This restaurant does some of the most authentic Arabic food I've had and you have to go here if you are in langkawi. 10/10,5,Reviewed 3 November 2019 ,Alhamdulillah Restaurant
"josephmcg16Glasgow, United Kingdom",Excellent Hosts and Brilliant Food,We visited this restaurant as a group of 12 and Rami was very accommodating for us. We felt very welcome in the restaurant and many of us said it felt as if we were being invited to eat in someone’s home. The restaurant and bathrooms were well kept while the dining area had beautiful Syrian styled decor.Easily the best Arab cuisine in Langkawi and a brilliant place to spend an evening. :)Thanks from Scotland/Netherlands/ Ireland!Show less,5,Reviewed 3 November 2019 ,Alhamdulillah Restaurant
"197leonardpHanoi, Vietnam",Just Perfect,"To start, this is the best falafel I’ve eaten! The interior is really cozy, and the owner really kind and helpful! He even asked Where We were from and then he even put on some music in our language! Me and my girlfriend had a great time here! The food is delicious but even more so, the owner makes you feel so welcome! :)Show less",5,Reviewed 2 November 2019 ,Alhamdulillah Restaurant
"ShummuLucknow, India",Excellent Arabic food,"We tried the ‘Syrian kabab dish with fries’ and ‘ Shish Tawouq with rice’ ....food was excellent, serving quantity was more than enough for both of us and the man who was serving us , was very calm and sweet. We went there late almost closing time still he entertained us with a smiling face. I would highly recommend to try this restaurant if you are fond of arabic food...Show less",5,Reviewed 30 October 2019 ,Alhamdulillah Restaurant
JaninaJ143,Excellent food,"We enjoyed excellent, tasty and fresh Middle-Eastern food. Very good service as well. Highly recommended!",5,Reviewed 30 October 2019 ,Alhamdulillah Restaurant
RLanceirex,Excellent Syrian Food!!,Delicious Syrian food made us visit the Restaurant twice in a couple of days. Owner is extremely helpful. We will be back!!,5,Reviewed 29 October 2019 ,Alhamdulillah Restaurant
"616gabicTimisoara, Romania",Delicious food,"We tried here delicious chicken shawarma and chicken fajitas. The owner is very nice and offered to help us with info about the island. All the food is freshly cooked so it will take a few minutes to receive your food,but the waiting is definitely warth it. Show less",5,Reviewed 27 October 2019 ,Alhamdulillah Restaurant
jessicasxott,BEST FOOD IN LANGKAWI,Myself and two friends visited this lovely place. On arrival we had no cash but the owner insisted we sat down first and paid later. The food was some of the best we have eaten in Asia. Very authentic food in a lovely setting. The restaurant has a lovely feel and excellent service by the owner. Also amazing value for money. We couldn’t recommend this restaurant more to anyone!! If your in Langkawi pay this lovely little place a visit !! Show less,5,Reviewed 27 October 2019 ,Alhamdulillah Restaurant
"danaa480Timisoara, Romania",Excellent food!,"The place is nice, and the food was delicious! The owner is very kind, he gaves us advices about the island. The restaurant deserves his no 1 place on tripadvisor! Shukran!Show less",5,Reviewed 26 October 2019 ,Alhamdulillah Restaurant
"298iqramHigh Wycombe, United Kingdom",Amazing food,"My husband and I went to the restaurant for dinner and it was lovely. We had a really nice time and the food was one of the best meals we’d had while in Langkawi, it was completely freshly made, the chef is an amazing cook. The service was also excellent. Would highly recommend coming here! Show less",5,Reviewed 18 October 2019 ,Alhamdulillah Restaurant
SophieChubb,Delicious food,"I visited the restaurant with my two children, 5 and 3, and we all thoroughly enjoyed all the food. The waiter/owner was as very friendly and for the quality the cost was very reasonable. I would highly recommend this restaurant.Show less",5,Reviewed 17 October 2019 ,Alhamdulillah Restaurant
mrnt lMalaysia,Tasty,I had fish meal with my friends and it was really tasty and best in town i think.There are lots of places where we can eat but this one is the best in my thought.we really enjoyed our time with amazing food.And those staff was really friendly.hope to catch this place again.Show less,5,Reviewed 11 October 2019 ,Alhamdulillah Restaurant
"subhib2019Langkawi, Malaysia",Great dinner,"Simple place with delicious plates , Arabic foods and Shisha , amazing and affordable for family or sharing business in quiet place.Show less",5,Reviewed 4 October 2019 ,Alhamdulillah Restaurant
"Dr_armanDhaka City, Bangladesh",So Tastyyy!,"We ordered a fish meal and 4 Chicken Kabsa. It was a wonderful experience. The fish was 560 gm.It was so fresh, cooked to the perfection.and the chicken was very well cooked and perfectly spiced. 9.5/10 for the food and 10/10 for the owner. He is from Syria, he was such a gentleman with a good heart. His wife is the chef,I recommend this restaurant for anyone who wants a good food and good experience. They serve in authentic Mediterranean style. Must go place for a food lover. You won't be disappointed. Check the picture for reference.Show less",5,Reviewed 1 October 2019 ,Alhamdulillah Restaurant
"bigv8tKeilor Downs, Australia",Great,"Went here with my family. The owner is a fantastic guy with quite a sad background story. The food is great especially for my kids who are quite picky. Its not over powering with sweet and saucy flavours very good syrian food. The fish was amazing, the chicken shish kabab was beautiful. The rice it was great finally having what i call real rice with flavour. Keep up the great work and i wish the owner all the best.Show less",5,Reviewed 29 September 2019 ,Alhamdulillah Restaurant
Federico Z,Ridicolous,"No idea how this plsce is ranked number 1 on Langkawi. Food much below the average, restaurant looks worst than a food stall, service appaling and extremely pushy asking to write a positive review on tripadvisor.Save your money for a better place and meal.Show less",1,Reviewed 22 September 2019 ,Alhamdulillah Restaurant
Savvystraveler,Underwhelming and overpriced,"Based on the reviews you would think this is an amazing restaurant, it's not. Definitely not worth 5 stars.Only tourists eating here, which is a a bad sign.We had to wait 40 minutes for food and drinks to arrive. Iced tea didnt have sugar (which to be fair the waiter mentioned) but didnt taste good. Food was mediocre and priced between 20-30 ringgit. Not crazy expensive but not cheap by Malaysian standards.To sum it up; there are (much) better options for a nice dinner.Show less",2,Reviewed 21 September 2019 ,Alhamdulillah Restaurant
Mutsy52,Delicious,Amazing fresh food and instant service with a smile. Highly recommended for locals and tourists alike.Show less,5,Reviewed 11 September 2019 ,Alhamdulillah Restaurant
"mohammedibnabdullahWolverhampton, United Kingdom",Excellent food for great value,"We heard about this restaurant on Tripadvisor and travelled 55 mins via car hoping for some great food - and no doubt about it we were not disappointed. we were greeted by a very kind and gentle owner. the food was delicious and cooked fresh, not too heavy - a perfect supper. the menu was not too complicated and overcrowded - just filled with basic Syrian dishes. we were very impressed. i thoroughly recommend anyone in the area to come down and enjoy this quaint little restaurant.Show less",5,Reviewed 8 September 2019 ,Alhamdulillah Restaurant
"Jade245Utrecht, The Netherlands",Traditional and fresh food!,"We really loved our dishes. Every dish is made fresh (even the hummus). When you have the opportunity to check this place out, go do it.Show less",5,Reviewed 6 September 2019 ,Alhamdulillah Restaurant
Giovanna M,Delicious,"My partner and I dined here last night for dinner after discovering this place on trip advisor. We were very impressed overall. The food was sooo good, the restaurant was very clean and the owner is very lovely. We highly recommend!Show less",5,Reviewed 3 September 2019 ,Alhamdulillah Restaurant
tobias912,Fantastic Restaurant ,"This is a very good Restaurant. Ramy the owner is a very welcoming host and has a lot of stories to tell. The food we ate was great and we liked it so much that we returned two more times during our 3 day weekend on Langkawi. The Fish was amazing, but honestly everything we had was very good. This is also a very good place to smoke hookah, only place I personally have seen so far in south east Asia. PS: Order the hummus!Show less",5,Reviewed 2 September 2019 ,Alhamdulillah Restaurant
"751maxioMunich, Germany","Amazing food, definitely deserves being no. 1 on Langkawi","Definitely a must-go on Langkawi. The food is amazing, especially the white snapper was tremendously good. Probably one of the best dishes I had in SE Asia. The owner is welcoming and offers great hospitality. Hygiene is great as well, water used for cooking is filtered and vegetables are treated with vinegar against possible bacteria, as the owner explained. We ended up going three times in the end and it was definitely worth it. Show less",5,Reviewed 1 September 2019 ,Alhamdulillah Restaurant
Ameertumbi,Little syria,This is a very cozy botique type Syrian food place with amazing gentle men making sure everything is on point and giving personalised attention to every detail to the presentation of the food .this homely place serves scrumptious food that is treat to taste buds,5,Reviewed 1 September 2019 ,Alhamdulillah Restaurant
michai952,Amazing food in cozy atmosphere,"Very very delicious oriental food in a nice restaurant. All dishes are freshly cooked table by table. Really friendly owner who is running his restaurant with his wife. Check it out, it's worth visiting!",5,Reviewed 26 August 2019 ,Alhamdulillah Restaurant
"Kerdoud KEl Oued, Algeria",a friendly place to visit ,"if langkawi is a wonderful place to visit ,Alhamdulillah is the most interesting Arabic restaurant in it. delicious flavours and tasty food, JUST TRY IT U WILL NEVER REGRET...U WILL NEVER FORGET. Show less",5,Reviewed 26 August 2019 ,Alhamdulillah Restaurant
"mosogaMexico City, Mexico","Lovely, home cooked food","This little restaurant serves excellent Syrian/Arabic food. The proprietor is a lovely, polite gentleman. The ambience is lovely and the restaurant is very clean and modern decor. Highly recommended during a visit to Langkawi. The fired fish and potatoes had us coming back a second timeShow less",5,Reviewed 25 August 2019 ,Alhamdulillah Restaurant
joewD1475SB,Amazing chicken shawarma!!,"I could have driven past this place and not noticed it - however, you must notice it because the food is absolutely fantastic!! The chicken shawarma is so good we came  back a second time!! Highly recommended! Friendly host :)",5,Reviewed 24 August 2019 ,Alhamdulillah Restaurant
Alexey K,Great! Great Again!,"We've had a long stay at Kuah. For a month. Family with two children (5 and 9). And when kids were asking for some grill (shawarma or chicken). I knew, the place which has the proper one!We’ve been at Alhamdulillah for several times. And always satisfied with atmosphere, taste of dishes and quality at all!!! You shouldn't wait some decor, luxury or special treatment! It is just about the food! Tasty food! Every time! Thanks a lot to the host! Best wishes!Show less",5,Reviewed 23 August 2019 ,Alhamdulillah Restaurant
FerasBardi,Review,Bery good and delicious food with great and very polite staff. I definitely recommend this to any visitors to langkawi.,5,Reviewed 23 August 2019 ,Alhamdulillah Restaurant
"ThePrincessTravelsAdelaide, Australia",Delicious!,"We dined here tonight after reading reviews on TripAdvisor. We didn’t have a booking and managed to get a table, however, I would recommend booking a table so that the husband and wife team who own and run the restaurant have fair notice of your intention to dine and so that you don’t miss out. The food is delicious, fresh and arrives hot on the table. I had a chicken and rice dish, whilst my husband had a whole fish with potatoes. Both meals were great and apparently traditional Syrian dishes. No alcohol is served as they don’t have a license but they do serve a variety of cold drinks. Dining here is highly recommended.Show less",5,Reviewed 20 August 2019 ,Alhamdulillah Restaurant
FN2,Fabulous genuinely good food,Lovely homely food...we got chicken schwarma with chips and chicken schwarma with arab rice and humous to start with. The owner helped us order and was very helpful and helped us not to order too much!! Very friendly service lovely and clean and gorgeous food!!! Would definitely recommend this place.Family run place which we loved.Show less,5,Reviewed 19 August 2019 ,Alhamdulillah Restaurant
myrfnd,Awesome food,"Syrian Arabic n Mid Eastern..worth going but best call first just in case..
Hospitable n the owner will recommend what best to take..
Do try their fish..
Ample parking
No regrets but some gravy please..",4,Reviewed 12 August 2019 ,Alhamdulillah Restaurant
44taniam,Delicious food and wonderful service ,We came to the restaurant off the back of all the favourable reviews and was not disappointed. We had the Syrian falafels and lamb and Arabic rice - they were both delicious. The warm and friendly welcome from the owner made our night - we would definitely go back and recommend to anyone looking for authentic middle eastern food. Show less,5,Reviewed 10 August 2019 ,Alhamdulillah Restaurant
AnneG740,Beautiful fresh food. Very tasty,Thank you Rami and your wife for the beautiful food. We will be back again in the next few days for more. We wish your family all the best for the future.,5,Reviewed 9 August 2019 ,Alhamdulillah Restaurant
21risiko,Authentic Arabic food and a nice atmosphere ,"We went there yesterday for dinner due to the amount of positive reviews on trip advisor. The place is run by a family of Syrians, the father manages the orders and his wife cooks, and the food was very delicious and tasted, as far as we can judge that, very authentic. he gave us some advice on what to take and how everything tastes and after the dinner we had a short talk about they came to Malaysia and what they like about living in Malaysia. The food was a little more expensive than in a foodo court but we paid for a dinner for two with drinks just under 60 RM, which is totally fine. We would definitely go there again for our next stay in kuah and we wish them all the very best for their future. Show less",5,Reviewed 6 August 2019 ,Alhamdulillah Restaurant
923abbasm,Highly recommended ,"Highly recommended, like home dishes, good staff and many thanks to our chief,, the lady in the kitchen for the amazing Falafel and shawerma",5,Reviewed 4 August 2019 ,Alhamdulillah Restaurant
"Moshiur CDhaka City, Bangladesh",Amazing Food!!,"Went there on 08/02/19. Was greeted by the gentleman (Probably Mr. Rami) who took our order and suggested a few. Food took almost 30 minutes to be made. But once we ate, it was worthy of waiting. Some of us ordered traditional Khapsa rice with chicken, I ordered for Sharma and one of my friends ordered for Kebab. We were all very pleased with the portion along with the taste. A must visit for all.Show less",4,Reviewed 3 August 2019 ,Alhamdulillah Restaurant
Susan1603,Tasted yammi :),A sweet nice place for having really good arabic food made by a lovely and calm cook. I definitly can recommend. Thanks a lot!,5,Reviewed 3 August 2019 ,Alhamdulillah Restaurant
Mick Y,Mick,"I have traveled around world as filmmaker, cannot believe this is no1 restaurant in Langkawi, taste very average and over priced ,hardly any people in there,TripAdvisor must be something wrong rated no1,never come backShow less",2,Reviewed 2 August 2019 ,Alhamdulillah Restaurant
"zoeltsLa Rochelle, France",Very good,"We loved our food, it was chicken donuts (I do not know 'name') excellent! Thank you for this good timeShow less",5,Reviewed 2 August 2019 ,Alhamdulillah Restaurant
