Restaurant,Review_Count,Avg_Star_Rating,Avg_Aspect_Ambience,Avg_Aspect_Cleanliness,Avg_Aspect_Food,Avg_Aspect_Location,Avg_Aspect_Price,Avg_Aspect_Service,Avg_Aspect_Waiting Time
7 Spice Indian Cuisine,57,3.245614035087719,0.35195,0.4019,0.1872396672771673,0.0,0.0,0.34350294117647057,0.0
718 Pizza,10,4.2,0.4215,,0.3236,,-0.27115,,
7TNine Bar & Kitchen,8,2.0,0.5984,,0.1129,,,-0.2263,
7th Mile Kitchen,3,4.333333333333333,,,0.0,,,,
8 Lotus Cafe,1,1.0,,,,,,,
86 Cold Drink,11,2.727272727272727,,,0.4404,,,,
86 Cold Drinks,1,3.0,,,,0.0,,,
93C Cafe,1,4.0,,,0.0,,,,
A Jie Cafe,53,3.6037735849056602,0.4723333333333333,,0.24061,,0.2202,0.20928,0.214275
A famosa curry chicken bread,1,5.0,,,,,,,
A&w,1,3.0,,,,,,,
A-Gong's Laksa,1,3.0,,,,,,,
ABC Bistro Cafe,124,2.693548387096774,0.4404,,0.2187593023255814,0.20584999999999998,0.026516666666666664,-0.13357105263157895,0.0
ABC Foods Corner,4,2.0,,,0.0,,,-0.23835,
ADU Sugar Restaurant,11,3.909090909090909,0.446175,,0.270835,,,0.2263,
AIN- ARABIA Restaurant & Cafe Langkawi,49,4.122448979591836,0.4404,,0.24614633333333333,0.2202,0.1749166666666667,0.4213045454545455,0.5719
AK Noodles,1,4.0,,,,,,,
AK Noodles House,1,3.0,,,,,,,
AK Noodles House - Johor Bahru City Square,9,2.7777777777777777,,,0.2896833333333333,,0.31066666666666665,0.4404,
ALRAWSHA RESTAURANT,70,2.8714285714285714,0.5571,,0.15893714285714286,0.17020000000000002,0.01255,-0.0421,0.04046
ANC Burger,26,3.076923076923077,0.43095,,0.3313357142857143,0.4215,,-0.037435,0.0
AQUA Restaurant & Bar,30,3.933333333333333,0.34852,,0.40265909090909086,0.1953,,0.3809192307692308,0.417825
ASSAM HOUSE,55,3.581818181818182,0.39336666666666664,,0.32257456140350876,,0.0,0.105375,0.0
ATAS,12,2.4166666666666665,0.4215,,0.214175,,,-0.0187875,
ATAS at The RuMa Hotel & Residences,2,4.0,0.4404,,0.5984,,,-0.1372,
ATLANTIS RESTAURANT,86,2.895348837209302,0.4019,0.5719,0.23661290322580644,0.0,0.1380611111111111,0.080675,
AZ Restaurant Thai Seafood,7,1.8571428571428572,,,-0.31245,,,-0.085,0.0
Abanico,1,4.0,,,,,,,
Absolute Thai,45,2.311111111111111,0.20584999999999998,,0.13154076388888888,,0.22142,0.0005958333333333324,0.0
Acme Bar & Coffee at The Troika,124,2.4838709677419355,0.30671666666666664,,0.13413502252252252,-0.0650125,0.022728571428571428,-0.024571951219512195,0.003866666666666667
After Black,80,3.1125,0.37170000000000003,,0.30825797872340427,,0.215475,0.1759388888888889,0.03905625
Ah Chiang Seafood,5,2.4,,,0.6249,,,,
Ah Chui Seafood,67,3.1044776119402986,0.0,,0.2981073076923077,,0.0714875,-0.16218333333333332,0.0
Ah Hua Kuey Teow,38,2.210526315789474,,,0.1988388888888889,,0.0,-0.20013055555555556,0.0
Ah Hui Bak Kut Teh,18,2.3333333333333335,,,0.11688030303030303,0.1591,0.0,-0.01840000000000001,
Ah Koong Restaurant (Pudu),11,2.8181818181818183,,,0.1292375,0.215475,0.0,0.04005,0.0
Ah Poh Bah Kut Teh,1,3.0,,,,,,,
Ah Sang Bak Kut Teh,74,3.8783783783783785,,,0.16376447368421054,-0.0683,-0.100475,0.31666333333333335,0.0
Ah Soh Buntal Seafood,23,2.869565217391304,0.0,,0.1948142857142857,0.0,0.0,0.0,
Ah Tuan Ee's Place,17,2.5294117647058822,,,0.179375,,,,0.0
Ahh-Yum by Kampong Kravers,3,3.0,,,0.08297333333333334,,,-0.4767,0.0
Ahroy Thai Cuisine,3,3.3333333333333335,0.43095,,0.0,,,0.0,
Ahsoh Buntal Seafood,4,3.5,,,0.26335,,,,0.0
Air Itam Sister Curry Mee,121,2.809917355371901,,,0.1599047619047619,0.2772,0.08808,0.4939,0.0
Aji Noren 味暖簾,37,3.027027027027027,,,0.16651666666666667,,0.0,-0.10929761904761905,0.0
Aki Pancake,19,3.3157894736842106,,,0.0,,,,
Al Andalus Restaurant,5,2.6,0.4215,,0.04933333333333333,0.0,,,0.0
Al Dente,57,2.824561403508772,0.2914666666666667,,0.3080596153846154,,0.0,0.21073033333333333,0.20865
"Al Dubai Restaurant, Melaka",2,3.0,,,0.105375,,,,
Al Halabi Lounge,4,3.25,0.5994,,0.2869625,0.4967,,0.4215,
Al Rawsha Restaurant,5,3.2,,,0.056575,,0.0,,
Al Rawsha Restaurant Kuala Lumpur,13,3.230769230769231,0.36273333333333335,0.0,0.09543958333333333,,,0.1468,0.0
Al diafah Express,2,4.0,,,0.4341,,,,
Al-Amar,202,2.5544554455445545,0.20908333333333334,,0.17027648484848487,0.2202,-0.005485000000000001,0.008860784313725494,0.06291428571428571
Al-Amar Express,15,3.466666666666667,,,0.1466857142857143,,0.0,0.12596666666666667,
Al-Asna,4,2.25,,,0.156225,,,-0.385625,
Al-Halabi Gourmet Restaurant,25,2.72,0.512,,0.18685392156862746,0.4404,0.2263,-0.02003166666666667,
Aladdin Cafe,10,3.2,,,0.2582785714285714,,0.0,0.16463333333333333,-0.03423333333333333
Alexis,52,2.6346153846153846,-0.033966666666666666,,0.27094861111111107,0.14049999999999999,0.18874285714285716,0.06299027777777778,0.04003636363636364
Alexis Ampang,27,2.5555555555555554,0.26632500000000003,,0.1303,,,0.12708571428571427,-0.02054
Alexis Bistro,9,2.7777777777777777,0.0,,-0.041699999999999994,,,0.12576666666666667,0.0
Alfresco,30,2.3333333333333335,0.4404,,0.23895555555555553,0.2155,0.0,-0.251725,0.0
Alfresco Kuching,3,2.3333333333333335,,,0.0999,,0.0,0.03639999999999999,0.0
Alhamdulillah Restaurant,56,4.589285714285714,0.29295,,0.31352670454545456,,0.31845,0.4245888888888889,0.2817
"Ali, Muthu & Ah Hock",9,3.0,0.0,,0.12067857142857143,,,-0.23835,0.0
Aliyaa,211,3.4123222748815167,0.4264029411764706,,0.28242702508960577,-0.11373333333333334,0.09318888888888889,0.23168061224489794,0.0734
Aliyaa Island Restaurant & Bar,25,3.2,0.2608833333333333,,0.18121,0.3818,,0.4302,0.2202
"Allongs, Warong Ipoh Lontong",2,3.5,,,0.0,,,,
Altitude,5,3.4,0.6249,,0.35101375,,,0.4939,
Amarin Heavenly Thai,15,2.933333333333333,0.38166,,0.13716923076923077,,0.0,0.36169999999999997,0.0
Amaya Food Gallery,22,2.8181818181818183,0.21075,,0.18333229166666665,,0.0,,0.0
Amber Chinese Muslim Restaurant,10,2.3,0.0,,0.06284618055555556,,0.4404,-0.119175,0.04765833333333333
Amma Restaurant,189,2.232804232804233,0.21075,,0.16635166666666668,0.44040000000000007,0.09763076923076924,-0.23089384615384617,-0.0128375
Ammah Curry House,23,2.347826086956522,0.21075,,0.3665007142857143,,0.07543333333333334,-0.10369000000000002,
Amphawa Boat Noodle,2,3.5,,,,,,,
Amy Heritage Nyonya Cuisine,237,2.5780590717299576,0.0,0.2023,0.19662125051759835,0.2202,0.10653000000000001,-0.12396121794871795,0.011383333333333334
Anak Nyonya,8,2.75,,,0.08639999999999999,,0.4404,0.4404,0.0
Anak Nyonya Restaurant,6,2.5,,,-0.1156875,,,0.0,0.0
Anderson Curry House,30,2.4,0.6249,,0.10900555555555555,,0.0,0.10811000000000001,
Andrew's Kampung,180,3.7055555555555557,0.40045555555555556,,0.29444645918645923,-0.08268333333333333,0.1890125,0.43745833333333334,0.0
Anjappar Indian Chettinad Restaurant,26,2.730769230769231,,,0.17043382352941178,0.0,0.0,0.1404,0.0
Anjung Senibong,45,1.9777777777777779,,,0.10368511904761904,0.6249,0.0,-0.049600000000000005,0.042550000000000004
Anjung Senibong Seafood,24,2.75,0.42779999999999996,,0.08310625,0.019799999999999998,-0.028200000000000003,0.08070833333333334,0.2083
Anna's Kitchen,2,1.5,0.0,,,,,,
Annalakshmi,100,3.07,0.3047823529411765,,0.17506887878787877,,0.0282875,0.16416666666666668,0.0
Anne Elizabeth The Deli Restaurant,13,3.6923076923076925,0.4404,,0.11304583333333333,-0.11315,0.0,0.369025,
Annie Kolo Mee,3,4.666666666666667,,,0.0,,,,
Annie Kolo mee,4,2.75,,,0.0,0.6249,0.296,,
Antara Restaurant,12,2.5833333333333335,,,0.10229666666666666,0.21075,0.11315,0.50896,
Antarabangsa Enterprise,27,3.8518518518518516,,,,,,,
Ante,21,3.0952380952380953,0.2202,,0.23153055555555557,,0.0,0.3463,0.31845
Antipodean @ Atria,191,3.549738219895288,0.3989625,,0.28897931581828135,0.255,0.12010909090909093,0.31724366666666665,0.07224642857142857
Antipodean @ Mid Valley,108,2.861111111111111,0.5276799999999999,,0.24649102564102565,0.0,0.06743333333333333,0.19057020202020203,0.010485714285714287
Antipodean Atria,25,3.92,,,0.3305,0.0,0.0,0.4493151515151515,0.2202
Antipodean Bukit Bintang,13,4.769230769230769,,,0.5670857142857143,,,0.48019999999999996,0.0
Antipodean Cafe,185,3.843243243243243,0.3802541666666666,,0.3101165730337079,0.5253,0.0,0.36630225925925924,0.03079090909090909
Antipodean City Centre,3,4.666666666666667,,,0.020366666666666672,,,0.43095,
Antipodean Mid Valley,48,3.1458333333333335,0.44905,,0.192547816091954,,0.0,0.38865,0.20095
Antonio's Trattoria Calabria,5,3.8,,,0.2202,,0.0,0.409425,0.0
Apathaas Taste Indian Restaurant,69,2.7246376811594204,,0.0,0.0899826923076923,,0.0,-0.2937357142857143,
Apollo Seafood Centre,40,2.8,0.0,,0.22145701754385966,,0.0,0.32095,0.0
Appethaizing Thai,1,1.0,,,0.0,,,,0.0
Ara Vietnamese Noodles (non-halal),52,3.7884615384615383,,,0.18116547619047618,0.1591,0.0734,0.15571666666666667,0.0
Arabella Restaurant,6,3.1666666666666665,,,0.513,,,0.4404,
Arang BBQ & Grill,33,4.03030303030303,0.6249,,0.3777425,,-0.3612,0.40573888888888887,0.6053999999999999
Arang BBQ & Grill Langkawi,31,3.806451612903226,0.3783875,,0.3567029411764706,,0.0,0.2391458333333333,0.0
Arashi Shabu Shabu,16,3.625,0.43095,,0.25240555555555555,,0.1468,0.16515000000000002,0.0
Arashi Shabu-Shabu,1,4.0,,,0.0,,0.0,,
"Arashi Shabu-Shabu, City Square JB",8,2.625,,,-0.0411,,0.0,,0.0
Arcadia Desserts,1,4.0,,,,,,,
Areca Cafe,12,3.5,,,0.1725875,,,0.19216666666666668,
Aroma Cafe,13,3.0,,,0.16973888888888888,0.20095,0.4404,0.4939,-0.2263
Aroma Cafe Halal,22,2.8636363636363638,0.21075,,0.28955,0.1101,0.0,0.3086875,
Aroma Restaurant,5,2.4,,,-0.1027,,,0.16463333333333333,
Arte Malaysia,14,3.2142857142857144,0.40745,,0.2233125,,,0.30114,
"Arthur's Bar & Grill, Shangri-La Hotel, Kuala Lumpur",30,3.1666666666666665,0.6119,,0.11753214285714286,,0.0,-0.18417380952380955,
Arthur’s Bar & Grill,46,3.152173913043478,0.2003857142857143,0.0,0.18709736842105262,0.0,0.28102,0.19005520833333334,0.08808
Artisans Pizza,49,3.938775510204082,,,0.3042706321839081,,0.0,0.4044866666666667,
Arts Cafe,68,2.926470588235294,0.41479499999999997,0.20095,0.1765467105263158,0.4404,0.0,0.26589999999999997,0.1101
Arts Cafe Langkawi,70,3.585714285714286,0.36235,,0.2003625,0.0,0.06967727272727273,0.3565315789473684,0.07024999999999999
Aryan Restaurant,1,5.0,,,0.0,,0.0,0.4939,
Asam Pedas Claypot 2 Restoran Kota Laksamana,149,2.4496644295302015,0.24695,0.296,0.04629811165845649,-0.0903,0.02368771929824561,-0.1402328431372549,0.02202
Asam Pedas Kota Laksamana,59,2.610169491525424,,,0.13538086419753087,0.0,0.1101,-0.051199999999999996,0.0
Asam Pedas Lagenda,5,3.2,,,0.1852111111111111,,0.0,0.2873,
Ashley's by Living Food,47,2.4468085106382977,0.4215,,0.18377733333333332,,-0.11326666666666668,0.014583333333333335,0.0
Ashoka Curry House,152,3.0460526315789473,0.0,0.4404,0.243925,0.0,-0.0018399999999999972,-0.06199285714285714,0.0
Asian Rice Pot,76,3.1315789473684212,0.22223333333333337,,0.1258014211886305,,0.1101,0.32053333333333334,
Asian Taste,2,2.0,,,,,0.0,0.0,
Asian Taste Restaurant Miri,1,4.0,,,,,,,
Asitah KNS,4,2.5,,,0.2045875,,0.0,0.0,
Asow Eatery Station,52,2.6923076923076925,0.21224285714285715,,0.16664833333333334,,0.09878,0.10093333333333333,0.0
Astana Restaurant,5,3.0,,,0.05505,,,-0.44205,
Atas Speakeasy,18,3.6666666666666665,0.28099999999999997,,0.5106,0.4404,0.15086666666666668,0.2968,0.2936
Atlas Gourmet Market,7,2.857142857142857,0.6249,,-0.043925,,0.0,0.0741,0.5719
Atmosphere 360 Revolving Restaurant,339,2.4985250737463125,0.18542222222222224,,0.07873639063317635,0.1110857142857143,0.08379183673469388,0.041547468354430385,0.06967857142857142
Atok Kopitiam,40,2.8,0.4019,,0.23887999999999998,,0.0,0.12046666666666667,
Aud's Cafe,49,3.7551020408163267,0.48889999999999995,,0.29778916666666666,0.2202,-0.3612,0.24473958333333334,0.0
August Cafe,16,3.0,-0.27115,,0.31946875,,,0.6249,
Aun Kheng Lim Salted Chicken,56,3.5,,,0.1315235294117647,0.08808,0.0,0.32366,0.0
Auntie Gaik Lean's Old School Eatery,69,3.3768115942028984,-0.16463333333333335,,0.22234157509157507,,0.0,0.01335625,0.0
Auntie Hong's Cooking,1,3.0,,,0.0,,,,
Aunty Christina's Sarawak Laksa,5,3.4,,,0.0,-0.4404,,0.4215,0.0
Awagyu restaurant,21,2.6666666666666665,,,0.13408333333333333,,0.0,0.48065,0.0
Awesome Canteen,119,3.100840336134454,0.43279230769230764,,0.2110932142857143,0.0,0.0,0.15594039215686276,0.0
Awesome Canteen at Sekeping Victoria,27,3.037037037037037,0.1591,,0.09319722222222222,-0.11315,,0.05435000000000001,-0.3182
Axis Lounge at DoubleTree by Hilton Johor Bahru,3,3.3333333333333335,,,0.5719,,,0.37654999999999994,0.0
Ayam Garam Aun Kheng Lim (Main Branch),132,2.9545454545454546,,,0.07263622448979593,,-0.014557142857142855,-0.1319125,0.0
Azabu Bar Bistro,6,2.0,0.21075,,0.08839999999999998,,,0.1284,
B @ Green House,30,2.8333333333333335,,,0.28206785714285715,0.0,-0.1806,-0.025474999999999998,0.0
B @ Greenhouse,6,2.1666666666666665,,,0.0734,,,0.0,
B-Lab,4,2.0,0.6249,,0.47155,,,0.4404,
B2W : Brunch2Wine,2,2.0,,,,,,,
BAAN 26,32,2.9375,0.0,,0.1407642857142857,0.5326500000000001,0.0,0.11770555555555556,0.0
BACCHUSj,1,2.0,,,,,,,
BAIT,11,3.3636363636363638,0.14401999999999998,,0.2096083333333333,0.0,0.0,0.27648055555555556,0.0
BARA BARA Seafood Restaurant,2,1.5,,,0.0,,,,
BB Hailam Chicken Rice,9,3.3333333333333335,0.1468,,0.22867500000000004,0.0,,0.27115,
BBQ KING Seafood (Jalan Song),20,3.65,,,0.3421888888888889,,0.0781125,0.5326500000000001,
BBQ King Seafood,3,3.3333333333333335,,,0.2083,,,0.4404,
BBQ NIGHTS,297,3.346801346801347,0.3607142857142857,,0.2874114384236453,0.2880038461538461,0.14931052631578948,0.2606518779342723,0.020572727272727274
BBQ Thai (OKR) Sdn Bhd,136,2.4558823529411766,0.2719653846153846,,0.14334689497716893,0.24126000000000003,0.05884,-0.2298931818181818,-0.062317500000000005
BEE BEE Pineapple Tart  House,10,2.9,,,0.0,,,,
BERT'S,6,3.3333333333333335,,,0.0,,0.0,,
"BMS Organics Vegetarian Cafe, Kota Kemuning",2,4.0,,,0.366975,,,0.4215,
Baa Baa Black Sheep,41,3.317073170731707,0.43095,,0.3015025641025641,,0.08808,0.4080625,
Baba Freds Nyonya Resturant,8,2.5,,,0.06756999999999999,,,0.0,0.0
Babah & Co,5,2.6,0.5106,,0.0,,,0.5328999999999999,
BacchusJ,4,3.25,,,0.37643333333333334,,,,0.0
Backofen,4,2.5,,,0.2202,,,,0.0
Backyard,6,2.5,0.270525,,0.36819999999999997,,0.0,,
Bacon & Balls,11,3.5454545454545454,,,0.22036666666666668,,0.4404,0.19063333333333332,0.0
Bacon And Balls Courtyard,73,2.9315068493150687,0.4457,,0.25347598039215685,0.0,0.0,0.26719499999999996,-0.0642875
Bahce Turkish Cafe,3,3.6666666666666665,,,0.17126666666666668,,0.0,,
Bake By Piosa,1,1.0,,,,,,,0.0
Bake by Piosa,5,2.6,,,,,,,
Bakti Woodlands,19,3.0526315789473686,,,0.16469305555555555,,0.0,0.10203333333333335,-0.05135
Bala's Banana Leaf,18,2.3333333333333335,,,0.086675,0.1562,0.03771666666666667,0.18743125,-0.03178
Bali Hai Seafood Market,121,2.330578512396694,0.20061999999999997,-0.5423,0.1190576530612245,0.5106,0.002766666666666671,0.016378472222222218,0.12738
Balkanico,19,3.8421052631578947,,,0.33712222222222227,0.4215,0.42779999999999996,,0.0
Balkanico Handmade Pizza 全手工意大利披萨,12,3.6666666666666665,,,0.3086,,0.44504999999999995,,
Bamboo Beach Restaurant,1,2.0,,,,,,,
Bamboo Biryani 'taste & see',8,2.5,,0.0,0.34785,,0.0,-0.5095000000000001,0.0
Ban Lee Restaurant,2,2.0,,,0.0,,,,
Ban Lee Siang,65,2.876923076923077,,0.0,0.13188555555555556,-0.2263,0.07118571428571428,0.027516666666666665,0.0
BananaBro,10,3.8,,,0.1521857142857143,,0.0,0.4758,0.0
Bankara Ramen Malaysia,19,3.0526315789473686,,,0.13313636363636364,,0.2202,0.22794999999999999,0.0
Baqara Fine Meat,1,5.0,,,,,,,
Bar B Q Tonight Malaysia,18,3.111111111111111,,,0.19077361111111113,0.0,,0.22596666666666665,0.0
Bara Bara Restaurant,1,3.0,,,,,,,
Barakat Hahdramawt,1,5.0,,,0.0,,,,
Barat Restaurant,12,4.25,0.325575,,0.30545833333333333,0.0,,0.0,0.0
Barbeque Nation,3,4.0,,,0.28595,,,0.5594,
Barflàm KL,1,3.0,,,,,,,
Basaga,34,2.6470588235294117,0.4009388888888889,,0.14638333333333334,0.0,-0.03287499999999999,0.26775238095238096,0.1101
Basil Thai,15,3.1333333333333333,0.2023,,0.05173952380952381,0.4404,0.0,0.028810000000000002,0.0
Basilico,3,4.333333333333333,,,0.1468,,,0.4939,
Basilico Restaurant,42,3.0476190476190474,0.40517000000000003,,0.16489173913043478,,0.06364,0.10619375,0.0
Baskin Robbins,3,3.3333333333333335,,,,,0.0,0.6249,
Batavia Kitchen City Square,7,3.2857142857142856,,,0.0,,,0.1468,
Bay Leaf Langkawi,4,2.5,,,0.6249,0.2936,,,
Bay Street 66,27,2.7037037037037037,,,0.04813194444444444,,0.1468,0.027533333333333337,0.0
Beach Corner Seafood,83,2.216867469879518,0.4404,,0.08024175084175082,0.0,-0.032836363636363636,-0.279625,0.0
Beach Cove,26,1.7692307692307692,,,0.001927857142857137,0.4404,0.0,-0.08141111111111111,0.0
Beach Republic miri,4,2.75,,,-0.4404,0.4404,,,
Beach Sea Food Restaurant,8,2.75,,,0.0,,0.20643333333333333,0.105375,0.0
Bean Sprout Café,41,3.341463414634146,0.25521000000000005,,0.30550625,0.21075,-0.09545,0.38932,0.18061666666666665
Bear Garden,21,3.1904761904761907,0.0,,0.105375,0.1591,0.5574,0.015866666666666657,0.5994
Beast,28,2.4285714285714284,0.0,,0.23470714285714286,,,-0.030454545454545453,0.0
Bedouin Arabian Cuisine,49,3.816326530612245,0.26776666666666665,,0.17826609477124183,0.17113333333333333,0.0,0.40093181818181817,0.0
Beef Restaurant,1,3.0,,,0.0,,,,
Behind 50,10,2.3,,,0.0,,0.116725,-0.18076666666666666,
Bei Zhan Restaurant,56,3.107142857142857,0.3033125,,0.1770858585858586,0.1591,0.11863333333333334,0.2363818181818182,0.08808
Beijing Chicken Rice,1,1.0,,,-0.3612,,,,
Belanga Satu Bistro,4,2.25,,,0.5019,,,,
Bella Italia,67,3.582089552238806,0.38495,,0.262639837398374,,0.1101,0.27967916666666665,0.1468
Ben's,164,2.3048780487804876,0.38456666666666667,-0.27115,0.12670262172284644,0.30474999999999997,0.15815714285714286,-0.0490546568627451,0.006476785714285717
Benten,2,4.0,,,,,,,
Bentley's Pub,8,3.375,,,0.42535000000000006,,0.0,0.5594,0.5719
Berjaya Cafe,27,3.3703703703703702,,,0.21979615384615386,,0.0,0.280575,0.2083
Bernie's Bar/Pub,4,5.0,0.5859,,,,,0.5911500000000001,0.6249
Bernie's Pub,4,5.0,0.5326500000000001,,,,,0.5719,0.0
Bert's Garden Seafood,126,2.492063492063492,0.3639833333333333,,0.16298963414634146,0.5859,0.0,-0.006392407407407408,0.06943333333333333
Bert's Keller,1,4.0,,,,,,,
Beta KL,55,3.5454545454545454,0.30237142857142857,,0.22524066666666667,0.0,0.2992,0.3422735294117647,0.146475
Betty's Cafe,1,2.0,,,0.01755000000000001,,,,
Betty's Midwest Kitchen,28,2.4642857142857144,0.0,,0.06379941666666666,,0.3182,0.07471428571428572,0.0
Bharat Curry House,6,2.1666666666666665,,,0.13894583333333332,,,-0.3875,0.0
Bibik's Kitchen @ JO Hotel Johor Bahru,5,2.2,,,0.09531666666666666,,,,-0.2263
Bica & Co Courtyard Cafe,41,3.4390243902439024,0.3110346153846154,,0.20211625,0.0,-0.148,0.350225,
Bierhaus Johor Jaya,1,2.0,,,,,,,
Big Ben's Restaurant Cafe & Cottage Industry,2,3.0,,,0.31845,,,0.2202,
Big Food F&B - Taman Nong Chik,119,3.0252100840336134,0.38275714285714285,,0.12665797101449275,,0.0,0.08953888888888889,0.0
"Big Mouth Bak Kut Teh, Fish Head",3,3.6666666666666665,,,0.5719,,,,
Bigfood,8,2.5,,-0.296,0.16074833333333335,,,-0.08865,
Bijan,90,2.9555555555555557,0.40096499999999996,,0.10401344605475041,0.0,0.12582857142857143,0.1599769298245614,0.0
Birch,42,2.7142857142857144,0.38874444444444445,0.4404,0.28341791666666666,0.0,0.07543333333333334,-0.035379487179487176,0.0
Birdland & Fat Cow,1,3.0,,,0.0,,0.0,0.0,
Biryani Art,5,3.6,0.5106,,0.28945,,0.4404,0.4967,
"Biryani Art, Malaysia",16,2.5,0.0,,0.19233492063492066,,0.0,0.2202,
Bistro Qaseh,3,2.3333333333333335,,,0.148,,,,
Bistro Tang,20,4.2,0.3849857142857143,,0.3242535714285714,,0.0,0.4215,0.0
Bistro a Table,13,2.6153846153846154,0.29045,,0.1379460113960114,,0.0,0.422675,0.1858
Bistro à Table,32,2.71875,0.32727,,0.18049351851851853,0.0,0.10606666666666666,0.32142,-0.31245
Bite N Eat Dindigul Biriyani,114,2.6578947368421053,0.12792499999999998,,0.08507186965811965,,0.10991153846153846,0.152086,0.0
Bla Bla Bla,186,3.2096774193548385,0.38541416666666667,,0.20617957186544345,0.1101,0.25785833333333336,0.23938776041666668,0.0
Black Canyon Coffee Jusco,5,3.0,,,0.0,,,0.0,0.0
Black Canyon Coffee Jusco Tebrau City,2,2.5,,,0.0,,,,
BlackBall Original Taiwanese Tea & Dessert,20,2.05,,,0.5984,-0.3612,0.0,0.05505,
Blendsmiths,27,2.888888888888889,0.2873,,0.26997,,0.0,0.2467,0.0
Bloom by Mokmok,50,3.38,0.350624358974359,,0.25795507936507933,,,0.23124166666666665,
Blue,2,4.0,,,0.5859,0.0,,0.0,
Blue Boy Vegetarian Food Centre,13,2.8461538461538463,0.0,,0.05998749999999999,,0.1806,0.13935,0.0
Blue Reef Fish & Chips,76,3.0789473684210527,0.37170000000000003,,0.2860068965517241,0.0,0.09866666666666667,0.12117555555555555,0.31245
Blue Vegan Restaurant,19,3.473684210526316,0.4215,,0.13173333333333334,,,0.46715,0.0
Boardwalk,9,3.0,0.5719,,-0.27115,0.4215,,0.38235714285714284,0.0
Boatman Restaurant,54,3.7222222222222223,-0.025474999999999998,,0.227655,,0.43152857142857143,0.36813555555555555,0.13935
Bobi's restaurant,30,3.2666666666666666,0.3633166666666667,,0.23710333333333336,-0.2732,0.2202,0.20805714285714286,0.0
Bobo KL,12,4.333333333333333,0.31245,,0.4204133333333333,0.4215,,-0.050159999999999996,0.39893333333333336
Bombay Masala,2,2.5,0.4215,,0.0,,-0.4588,0.4404,
Bombay Palace,260,2.773076923076923,0.3868128571428572,0.3182,0.14089813095238093,0.20089375,0.05266176470588235,0.09127272727272728,0.020040000000000002
Bomnal Korean Cafe,1,5.0,,,0.5719,,,0.2202,
Bone & Pot,2,4.5,,,0.5574,,,0.5326500000000001,
Bonjour Cafe & Restaurant,3,3.0,0.0,,0.0,,,0.4404,0.0
Bonne Gilla,3,3.6666666666666665,,,0.0,,,0.07694999999999999,
Bonzer Restaurant,7,3.4285714285714284,,,0.13144666666666666,,0.0,-0.0242,0.0
